Source,Target,Diplôme UV,Spécialité UV,Filière UV,Niveau UV,Période UV,Réussite UV
CBD4D63A622ADB23770BBAA3256D1BF4,MT90,TC,TC,NA,1,Automne 2015,Non
CBD4D63A622ADB23770BBAA3256D1BF4,MT91,TC,TC,NA,1,Automne 2015,Non
CBD4D63A622ADB23770BBAA3256D1BF4,NP90,TC,TC,NA,1,Automne 2015,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,PS90,TC,TC,NA,1,Automne 2015,Non
CBD4D63A622ADB23770BBAA3256D1BF4,PS93,TC,TC,NA,1,Automne 2015,Non
CBD4D63A622ADB23770BBAA3256D1BF4,PS94,TC,TC,NA,1,Automne 2015,Non
CBD4D63A622ADB23770BBAA3256D1BF4,TN01,TC,TC,NA,1,Automne 2015,Non
CBD4D63A622ADB23770BBAA3256D1BF4,MT22,TC,TC,NA,2,Printemps 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,NF01,TC,TC,NA,2,Printemps 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,PS93,TC,TC,NA,2,Printemps 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,PS94,TC,TC,NA,2,Printemps 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,TN04,TC,TC,NA,2,Printemps 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,MT23,TC,TC,NA,3,Automne 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,NF92,TC,TC,NA,3,Automne 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,NF93,TC,TC,NA,3,Automne 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,PS21,TC,TC,NA,3,Automne 2016,Oui
CBD4D63A622ADB23770BBAA3256D1BF4,TN05,TC,TC,NA,3,Automne 2016,Oui
A629686CECCCA37D90D5DB6182131695,MT90,TC,TC,NA,1,Printemps 2012,Oui
A629686CECCCA37D90D5DB6182131695,MT91,TC,TC,NA,1,Printemps 2012,Oui
A629686CECCCA37D90D5DB6182131695,NP90,TC,TC,NA,1,Printemps 2012,Oui
A629686CECCCA37D90D5DB6182131695,PS90,TC,TC,NA,1,Printemps 2012,Oui
A629686CECCCA37D90D5DB6182131695,PS91,TC,TC,NA,1,Printemps 2012,Oui
A629686CECCCA37D90D5DB6182131695,TN01,TC,TC,NA,1,Printemps 2012,Oui
A629686CECCCA37D90D5DB6182131695,MT22,TC,TC,NA,2,Automne 2012,Non
A629686CECCCA37D90D5DB6182131695,NF01,TC,TC,NA,2,Automne 2012,Oui
A629686CECCCA37D90D5DB6182131695,PS04,TC,TC,NA,2,Automne 2012,Non
A629686CECCCA37D90D5DB6182131695,TN03,TC,TC,NA,2,Automne 2012,Non
A629686CECCCA37D90D5DB6182131695,MT22,TC,TC,NA,3,Printemps 2013,Oui
A629686CECCCA37D90D5DB6182131695,MT23,TC,TC,NA,3,Printemps 2013,Oui
A629686CECCCA37D90D5DB6182131695,PS93,TC,TC,NA,3,Printemps 2013,Oui
A629686CECCCA37D90D5DB6182131695,PS94,TC,TC,NA,3,Printemps 2013,Oui
A629686CECCCA37D90D5DB6182131695,TN04,TC,TC,NA,3,Printemps 2013,Oui
A629686CECCCA37D90D5DB6182131695,TN05,TC,TC,NA,3,Printemps 2013,Oui
A629686CECCCA37D90D5DB6182131695,PS95,TC,TC,NA,4,Automne 2013,Oui
A629686CECCCA37D90D5DB6182131695,PS96,TC,TC,NA,4,Automne 2013,Oui
A629686CECCCA37D90D5DB6182131695,SY01,TC,TC,NA,4,Automne 2013,Oui
A629686CECCCA37D90D5DB6182131695,TF11,TC,TC,NA,4,Automne 2013,Oui
A629686CECCCA37D90D5DB6182131695,TN03,TC,TC,NA,4,Automne 2013,Oui
A629686CECCCA37D90D5DB6182131695,TN07,TC,TC,NA,4,Automne 2013,Non
BED39E2B05DB13DAAE0623CC4D801B2C,CM11,TC,TC,NA,1,Automne 2012,Non
BED39E2B05DB13DAAE0623CC4D801B2C,MT90,TC,TC,NA,1,Automne 2012,Non
BED39E2B05DB13DAAE0623CC4D801B2C,MT91,TC,TC,NA,1,Automne 2012,Non
BED39E2B05DB13DAAE0623CC4D801B2C,PS90,TC,TC,NA,1,Automne 2012,Oui
BED39E2B05DB13DAAE0623CC4D801B2C,TN01,TC,TC,NA,1,Automne 2012,Oui
BED39E2B05DB13DAAE0623CC4D801B2C,MT22,TC,TC,NA,2,Printemps 2013,Oui
BED39E2B05DB13DAAE0623CC4D801B2C,PS91,TC,TC,NA,2,Printemps 2013,Non
BED39E2B05DB13DAAE0623CC4D801B2C,TN03,TC,TC,NA,2,Printemps 2013,Oui
BED39E2B05DB13DAAE0623CC4D801B2C,TN04,TC,TC,NA,2,Printemps 2013,Oui
BED39E2B05DB13DAAE0623CC4D801B2C,TN05,TC,TC,NA,2,Printemps 2013,Oui
B5F9376CB93E6AC4621C118887DC08B0,BL01,TC,TC,NA,1,Automne 2012,Oui
B5F9376CB93E6AC4621C118887DC08B0,MT90,TC,TC,NA,1,Automne 2012,Oui
B5F9376CB93E6AC4621C118887DC08B0,MT91,TC,TC,NA,1,Automne 2012,Non
B5F9376CB93E6AC4621C118887DC08B0,PS90,TC,TC,NA,1,Automne 2012,Oui
B5F9376CB93E6AC4621C118887DC08B0,TN01,TC,TC,NA,1,Automne 2012,Oui
B5F9376CB93E6AC4621C118887DC08B0,CM11,TC,TC,NA,2,Printemps 2013,Oui
B5F9376CB93E6AC4621C118887DC08B0,MT22,TC,TC,NA,2,Printemps 2013,Non
B5F9376CB93E6AC4621C118887DC08B0,NF01,TC,TC,NA,2,Printemps 2013,Non
B5F9376CB93E6AC4621C118887DC08B0,TN05,TC,TC,NA,2,Printemps 2013,Oui
B5F9376CB93E6AC4621C118887DC08B0,CM13,TC,TC,NA,3,Automne 2013,Oui
B5F9376CB93E6AC4621C118887DC08B0,MT22,TC,TC,NA,3,Automne 2013,Oui
B5F9376CB93E6AC4621C118887DC08B0,NF01,TC,TC,NA,3,Automne 2013,Non
B5F9376CB93E6AC4621C118887DC08B0,PS91,TC,TC,NA,3,Automne 2013,Non
B5F9376CB93E6AC4621C118887DC08B0,TN04,TC,TC,NA,3,Automne 2013,Oui
B5F9376CB93E6AC4621C118887DC08B0,PS93,TC,TC,NA,4,Printemps 2014,Oui
B5F9376CB93E6AC4621C118887DC08B0,PS94,TC,TC,NA,4,Printemps 2014,Oui
B5F9376CB93E6AC4621C118887DC08B0,SY01,TC,TC,NA,4,Printemps 2014,Non
B5F9376CB93E6AC4621C118887DC08B0,TN03,TC,TC,NA,4,Printemps 2014,Oui
B5F9376CB93E6AC4621C118887DC08B0,TN06,TC,TC,NA,4,Printemps 2014,Oui
B5F9376CB93E6AC4621C118887DC08B0,CM12,TC,TC,NA,5,Automne 2014,Non
B5F9376CB93E6AC4621C118887DC08B0,EN90,TC,TC,NA,5,Automne 2014,Oui
B5F9376CB93E6AC4621C118887DC08B0,SY01,TC,TC,NA,5,Automne 2014,Non
B5F9376CB93E6AC4621C118887DC08B0,CM01,TC,TC,NA,6,Printemps 2015,Oui
B5F9376CB93E6AC4621C118887DC08B0,CM12,TC,TC,NA,6,Printemps 2015,Oui
88FCD9EC73320EF6235757493E4CCD04,MT90,TC,TC,NA,1,Automne 2012,Non
88FCD9EC73320EF6235757493E4CCD04,MT91,TC,TC,NA,1,Automne 2012,Non
88FCD9EC73320EF6235757493E4CCD04,PS90,TC,TC,NA,1,Automne 2012,Oui
88FCD9EC73320EF6235757493E4CCD04,PS93,TC,TC,NA,1,Automne 2012,Oui
88FCD9EC73320EF6235757493E4CCD04,PS94,TC,TC,NA,1,Automne 2012,Non
88FCD9EC73320EF6235757493E4CCD04,TN01,TC,TC,NA,1,Automne 2012,Oui
88FCD9EC73320EF6235757493E4CCD04,CM11,TC,TC,NA,2,Printemps 2013,Non
88FCD9EC73320EF6235757493E4CCD04,MT90,TC,TC,NA,2,Printemps 2013,Non
88FCD9EC73320EF6235757493E4CCD04,MT91,TC,TC,NA,2,Printemps 2013,Non
88FCD9EC73320EF6235757493E4CCD04,NF01,TC,TC,NA,2,Printemps 2013,Non
88FCD9EC73320EF6235757493E4CCD04,PS94,TC,TC,NA,2,Printemps 2013,Non
88FCD9EC73320EF6235757493E4CCD04,TN04,TC,TC,NA,2,Printemps 2013,Oui
88FCD9EC73320EF6235757493E4CCD04,TN07,TC,TC,NA,2,Printemps 2013,Oui
D9B084738DC132878A9C0A4CB695CC5A,MT90,TC,TC,NA,1,Automne 2012,Oui
D9B084738DC132878A9C0A4CB695CC5A,MT91,TC,TC,NA,1,Automne 2012,Oui
D9B084738DC132878A9C0A4CB695CC5A,NP94,TC,TC,NA,1,Automne 2012,Oui
D9B084738DC132878A9C0A4CB695CC5A,PS90,TC,TC,NA,1,Automne 2012,Oui
D9B084738DC132878A9C0A4CB695CC5A,PS91,TC,TC,NA,1,Automne 2012,Oui
