Id,Dernière inscription,Diplôme,Branche,Niveau,Filière,Ancienneté,Statut,type,Catégorie UV,Crédits ECTS
CBD4D63A622ADB23770BBAA3256D1BF4,Printemps 2020,Branche,GI,6,FDD,10,Formation initiale,etudiants,NA,NA
A629686CECCCA37D90D5DB6182131695,Automne 2018,Branche,IM,7,MARS,14,Formation initiale,etudiants,NA,NA
BED39E2B05DB13DAAE0623CC4D801B2C,Automne 2018,Branche,IM,7,MIT,7,Formation initiale,etudiants,NA,NA
B5F9376CB93E6AC4621C118887DC08B0,Automne 2018,Branche,GB,7,BB,13,Formation initiale,etudiants,NA,NA
88FCD9EC73320EF6235757493E4CCD04,Automne 2018,Branche,IM,6,PIL,7,Formation initiale,etudiants,NA,NA
D9B084738DC132878A9C0A4CB695CC5A,Automne 2018,Branche,IM,9,SIM,13,Formation initiale,etudiants,NA,NA
BB08391AD4E1ED87F267F94D51A82268,Automne 2018,Branche,IM,7,MIT,13,Formation initiale,etudiants,NA,NA
E1449D5E3EF52843EAC914798DF13520,Printemps 2019,Branche,GB,6,CIB,6,Formation initiale,etudiants,NA,NA
2D0FC7E53FC11D2C7FC6BB75BE4CBD3D,Printemps 2020,Branche,IM,12,MARS,16,Formation initiale,etudiants,NA,NA
75B8593F77E495D8190FACC5FBEF3A56,Printemps 2019,Branche,GU,6,NA,6,Formation initiale,etudiants,NA,NA
5A24F59C23AFB11739B8CAD110D86D0A,Automne 2018,Branche,IM,8,NA,13,Formation initiale,etudiants,NA,NA
E48B27B310C87EF10FAAD88BA8D39202,Printemps 2022,Branche,IM,1,NA,5,Formation initiale,etudiants,NA,NA
4D7486E3916773B40FE83BD8C6B186D1,Automne 2018,Branche,GU,6,SR,12,Formation initiale,etudiants,NA,NA
30BDB0DDA9AC079DBAA1E93B14CB8E7D,Printemps 2019,Branche,GI,7,ICSI,12,Formation initiale,etudiants,NA,NA
D0A94DB501D9718F3F38DAF3CE8AC724,Automne 2018,Branche,IM,6,MARS,11,Formation initiale,etudiants,NA,NA
51FDB0150AC2C6818634A8FD901E23C9,Automne 2018,Branche,GI,7,FDD,11,Formation initiale,etudiants,NA,NA
817F4E53C7106FF911ED81550AF0955C,Printemps 2019,Branche,GU,6,AIE,12,Formation initiale,etudiants,NA,NA
8E7CA09C225A38674C645E5CD0CE7523,Printemps 2019,Branche,IM,8,PIL,12,Formation initiale,etudiants,NA,NA
329CBFD242E48AD32162E9D55E2BC422,Printemps 2019,Branche,IM,6,MARS,6,Formation initiale,etudiants,NA,NA
5B88C3E7C49353D251AEC4F99F0A0231,Printemps 2019,Branche,GI,7,FDD,12,Formation initiale,etudiants,NA,NA
4412F017FB5991977F945B29256C7F5B,Printemps 2019,Branche,GI,6,NA,12,Formation initiale,etudiants,NA,NA
F32E98CDF97B8DAD88F94E9F7B195D4E,Automne 2018,Branche,IM,6,MIT,11,Formation initiale,etudiants,NA,NA
A8006B7BD13F5F68DEDB11726B651B20,Automne 2018,Branche,GI,5,SRI,11,Formation initiale,etudiants,NA,NA
9EFC83AA2C96DEEB14C94F8444B9B460,Automne 2018,Branche,GI,6,FDD,11,Formation initiale,etudiants,NA,NA
5AA66FD501E5372EB7F4C0AE2E25D7D9,Printemps 2020,Branche,GI,9,FDD,14,Formation initiale,etudiants,NA,NA
9AE6241963DB0ADD4138672510DCD22E,Automne 2018,Branche,GB,6,BB,11,Formation initiale,etudiants,NA,NA
07255581F84758F37217952646B797CB,Automne 2019,Branche,GP,9,NA,13,Formation initiale,etudiants,NA,NA
FA2E38D388788A73A5EF46D098500ACB,Printemps 2019,Branche,IM,6,IDI,12,Formation initiale,etudiants,NA,NA
7A9EDE85068621FAD95FC27901F58171,Automne 2018,Branche,GB,6,BB,11,Formation initiale,etudiants,NA,NA
77309A05A13296517745F32539E9A115,Automne 2018,Branche,GI,7,ICSI,11,Formation initiale,etudiants,NA,NA
487B5BD3A15A901E9285A6B1DA9797BD,Automne 2018,Branche,GI,7,STRIE,11,Formation initiale,etudiants,NA,NA
4E65F4FF8AA93764E93E1C3BA83922CD,Printemps 2019,Branche,IM,7,CMI,12,Formation initiale,etudiants,NA,NA
2D946919C3C005C5D47E8721E76A73F7,Automne 2018,Branche,GB,7,BB,11,Formation initiale,etudiants,NA,NA
331B01EB79B0EC9468A6A8FC80938732,Printemps 2020,Branche,GU,8,NA,8,Formation initiale,etudiants,NA,NA
F8CE136F8BF1C74C75B2888C8F278112,Printemps 2019,Branche,GI,7,FDD,12,Formation initiale,etudiants,NA,NA
ED0495B21A1D64F3306924F2DDEA7DDE,Automne 2018,Branche,GI,7,FDD,11,Formation initiale,etudiants,NA,NA
765D36EE63C5E745E1EF0A4B97A56BE9,Printemps 2019,Branche,GI,6,SRI,12,Formation initiale,etudiants,NA,NA
AC03BF57F5EBB46857918204DC058095,Automne 2018,Branche,IM,6,MIT,11,Formation initiale,etudiants,NA,NA
1FE8D108770760945B583DBD26B48982,Automne 2018,Branche,GP,5,TE,11,Formation initiale,etudiants,NA,NA
BF4779F6147C9953721EDB69E5C28253,Printemps 2019,Branche,GU,8,STI,12,Formation initiale,etudiants,NA,NA
352B83A971F8C217D5AE64B74ABCEE4F,Automne 2018,Branche,GI,6,FDD,11,Formation initiale,etudiants,NA,NA
E304182E308F66A48C424733B1F28F3A,Printemps 2019,Branche,GI,7,STRIE,12,Formation initiale,etudiants,NA,NA
E556F40390BE107A9E81CADD30A25946,Automne 2018,Branche,GB,6,CIB,11,Formation initiale,etudiants,NA,NA
B550F689CF2B5BBFA7075799192553CF,Printemps 2019,Branche,GI,6,FDD,12,Formation initiale,etudiants,NA,NA
DF73940C554A40B6093BE8CEA367249B,Printemps 2019,Branche,IM,6,AVI,6,Formation initiale,etudiants,NA,NA
0CD3B5690964A68CE7BF18F04B096B94,Automne 2018,Branche,GI,7,STRIE,11,Formation initiale,etudiants,NA,NA
09DA450EE5E711CA797B2E7A7401F955,Automne 2018,Branche,GB,6,CIB,11,Formation initiale,etudiants,NA,NA
8C5EB23199B4C1B5BC4309F52A3AEC32,Automne 2018,Branche,GI,7,NA,11,Formation initiale,etudiants,NA,NA
