Source,Target,Diplôme UV,Spécialité UV,Filière UV,Niveau UV,Période UV,Réussite UV
CE1ECD96C36E106EF3EA5FEB77C30378,AC01,Branche,GI,NA,1,Automne 2016,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AH01,Branche,GI,NA,1,Automne 2016,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AH14,Branche,GI,NA,1,Automne 2016,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI01,Branche,GI,NA,1,Automne 2016,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI02,Branche,GI,NA,1,Automne 2016,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI03,Branche,GI,NA,1,Automne 2016,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AE01,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,GE21,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,IA02,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,LG51,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,LO21,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,NF17,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,RO03,Branche,GI,NA,2,Printemps 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AE02,Branche,GI,NA,3,Automne 2017,Non
CE1ECD96C36E106EF3EA5FEB77C30378,AH07,Branche,GI,NA,3,Automne 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI05,Branche,GI,NA,3,Automne 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI06,Branche,GI,NA,3,Automne 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI11,Branche,GI,NA,3,Automne 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI21,Branche,GI,NA,3,Automne 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,LH16,Branche,GI,NA,3,Automne 2017,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AE02,Branche,GI,IL,4,Printemps 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI07,Branche,GI,IL,4,Printemps 2018,Non
CE1ECD96C36E106EF3EA5FEB77C30378,AI09,Branche,GI,IL,4,Printemps 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI16,Branche,GI,IL,4,Printemps 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI18,Branche,GI,IL,4,Printemps 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AS01,Branche,GI,IL,4,Printemps 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,LH15,Branche,GI,IL,4,Printemps 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AE03,Branche,GI,IL,5,Automne 2018,Non
CE1ECD96C36E106EF3EA5FEB77C30378,AI08,Branche,GI,IL,5,Automne 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI10,Branche,GI,IL,5,Automne 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI12,Branche,GI,IL,5,Automne 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,AI13,Branche,GI,IL,5,Automne 2018,Oui
CE1ECD96C36E106EF3EA5FEB77C30378,SH06,Branche,GI,IL,5,Automne 2018,Non
CE1ECD96C36E106EF3EA5FEB77C30378,AE03,Branche,GI,IL,6,Printemps 2019,Oui
F14CBFB2365D0CDF268DD205EED28A63,AC01,Branche,GI,NA,1,Automne 2016,Oui
F14CBFB2365D0CDF268DD205EED28A63,AH03,Branche,GI,NA,1,Automne 2016,Oui
F14CBFB2365D0CDF268DD205EED28A63,AH14,Branche,GI,NA,1,Automne 2016,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI01,Branche,GI,NA,1,Automne 2016,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI02,Branche,GI,NA,1,Automne 2016,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI03,Branche,GI,NA,1,Automne 2016,Oui
F14CBFB2365D0CDF268DD205EED28A63,AE01,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,LO21,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,NF17,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,RO03,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,SI14,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,SI28,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,SR02,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,TX00,Branche,GI,NA,2,Printemps 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,AE02,Branche,GI,NA,3,Automne 2017,Non
F14CBFB2365D0CDF268DD205EED28A63,AH07,Branche,GI,NA,3,Automne 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI05,Branche,GI,NA,3,Automne 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI06,Branche,GI,NA,3,Automne 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI11,Branche,GI,NA,3,Automne 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI21,Branche,GI,NA,3,Automne 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,LH16,Branche,GI,NA,3,Automne 2017,Oui
F14CBFB2365D0CDF268DD205EED28A63,AE02,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI07,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI09,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI16,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI18,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AS01,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,LH15,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,LH17,Branche,GI,NA,4,Printemps 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AE03,Branche,GI,NA,5,Automne 2018,Non
F14CBFB2365D0CDF268DD205EED28A63,AI08,Branche,GI,NA,5,Automne 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI10,Branche,GI,NA,5,Automne 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI12,Branche,GI,NA,5,Automne 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AI14,Branche,GI,NA,5,Automne 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,SH06,Branche,GI,NA,5,Automne 2018,Oui
F14CBFB2365D0CDF268DD205EED28A63,AE03,Branche,GI,NA,6,Printemps 2019,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AC01,Branche,GI,NA,1,Automne 2016,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AH01,Branche,GI,NA,1,Automne 2016,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AH12,Branche,GI,NA,1,Automne 2016,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI01,Branche,GI,NA,1,Automne 2016,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI02,Branche,GI,NA,1,Automne 2016,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI03,Branche,GI,NA,1,Automne 2016,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AE01,Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,LO21,Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,"NA17",Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,PH09,Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,RO03,Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,SI22,Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,SY02,Branche,GI,NA,2,Printemps 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AE02,Branche,GI,NA,3,Automne 2017,Non
41C3CE7CBC59AAE3930937AA319E33B5,AH07,Branche,GI,NA,3,Automne 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI05,Branche,GI,NA,3,Automne 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI06,Branche,GI,NA,3,Automne 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI11,Branche,GI,NA,3,Automne 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI21,Branche,GI,NA,3,Automne 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,LH14,Branche,GI,NA,3,Automne 2017,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AE02,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI07,Branche,GI,IL,4,Printemps 2018,Non
41C3CE7CBC59AAE3930937AA319E33B5,AI09,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI16,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI18,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AS01,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,LH16,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,LH17,Branche,GI,IL,4,Printemps 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AE03,Branche,GI,IL,5,Automne 2018,Non
41C3CE7CBC59AAE3930937AA319E33B5,AI10,Branche,GI,IL,5,Automne 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI12,Branche,GI,IL,5,Automne 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI13,Branche,GI,IL,5,Automne 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AI14,Branche,GI,IL,5,Automne 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,LH15,Branche,GI,IL,5,Automne 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,SH06,Branche,GI,IL,5,Automne 2018,Oui
41C3CE7CBC59AAE3930937AA319E33B5,AE03,Branche,GI,IL,6,Printemps 2019,Oui
B08617FAC38878B09888D3B8F582D234,FQ01,Branche,GSM,NA,1,Printemps 2016,Oui
B08617FAC38878B09888D3B8F582D234,LC14,Branche,GSM,NA,1,Printemps 2016,Non
B08617FAC38878B09888D3B8F582D234,LO01,Branche,GSM,NA,1,Printemps 2016,Oui
B08617FAC38878B09888D3B8F582D234,MQ18,Branche,GSM,NA,1,Printemps 2016,Oui
