Id,Dernière inscription,Diplôme,Branche,Niveau,Filière,Ancienneté,Statut,type,Catégorie UV,Crédits ECTS
CE1ECD96C36E106EF3EA5FEB77C30378,Printemps 2019,Branche,GI,6,IL,6,Apprentissage (Formation initiale),etudiants,NA,NA
F14CBFB2365D0CDF268DD205EED28A63,Printemps 2019,Branche,GI,6,NA,6,Apprentissage (Formation initiale),etudiants,NA,NA
41C3CE7CBC59AAE3930937AA319E33B5,Printemps 2019,Branche,GI,6,IL,6,Apprentissage (Formation initiale),etudiants,NA,NA
B08617FAC38878B09888D3B8F582D234,Printemps 2019,Branche,IM,7,CPT,12,Apprentissage (Formation initiale),etudiants,NA,NA
2CE21F42FDD2402D164AF0FFF3B15422,Printemps 2019,Branche,GI,6,IL,6,Apprentissage (Formation initiale),etudiants,NA,NA
2905E4CFFE46BB6CDD1FF584B65B5626,Printemps 2019,Branche,GI,6,IL,6,Apprentissage (Formation initiale),etudiants,NA,NA
7870A7192A35D4E54D7647492D548F50,Printemps 2019,Branche,GI,6,IL,12,Apprentissage (Formation initiale),etudiants,NA,NA
6193169C6C2F1804752ECF557668B970,Printemps 2019,Branche,IM,6,CPT,11,Apprentissage (Formation initiale),etudiants,NA,NA
1A7F6A03E67FB303EE226360185E7D85,Printemps 2019,Branche,GI,7,NA,11,Apprentissage (Formation initiale),etudiants,NA,NA
A1F28D037EC9CE00E281EC114CF2C691,Printemps 2020,Branche,GI,6,IL,6,Apprentissage (Formation initiale),etudiants,NA,NA
AA60912BEF8F19D98DE41AFB473FFB50,Printemps 2019,Branche,IM,6,CPT,10,Apprentissage (Formation initiale),etudiants,NA,NA
503B8B0962E4885955B1A5357C93D288,Printemps 2019,Branche,GI,6,IL,10,Apprentissage (Formation initiale),etudiants,NA,NA
59D9DFBBA39ABD7B300C4CBABF06592C,Printemps 2020,Branche,IM,6,IND,12,Apprentissage (Formation initiale),etudiants,NA,NA
33D74677EED65E9DA45655A9A7FFFDBA,Printemps 2020,Branche,IM,7,IND,12,Apprentissage (Formation initiale),etudiants,NA,NA
A0C0E2ADEDC68A6F4164BCDEB1FD6552,Printemps 2020,Branche,IM,6,CPT,11,Apprentissage (Formation initiale),etudiants,NA,NA
CC1B327566C2DAD3B4BD6BEC7604DE94,Printemps 2020,Branche,GI,6,3IC,11,Apprentissage (Formation initiale),etudiants,NA,NA
0FA36DF7934A112F71F6B0F525DD8A49,Printemps 2020,Branche,GI,6,IL,6,Apprentissage (Formation initiale),etudiants,NA,NA
32CC35F7632D9F7E2520334624D01FE5,Printemps 2020,Branche,GI,6,IL,10,Apprentissage (Formation initiale),etudiants,NA,NA
4EADC96F02C918EAE1C8EC48C5D9AF78,Printemps 2021,Branche,GI,7,IL,12,Apprentissage (Formation initiale),etudiants,NA,NA
079FA8068E46E50F91034EB1E82414B1,Printemps 2022,Branche,IM,6,IND,6,Apprentissage (Formation initiale),etudiants,NA,NA
912DA48A8F9739FA8D9880F10E03B4A2,Printemps 2020,Branche,IM,6,CPT,10,Apprentissage (Formation initiale),etudiants,NA,NA
569EDAD10FA5288EC5C2384AD5A1916F,Printemps 2020,Branche,GI,6,IL,10,Apprentissage (Formation initiale),etudiants,NA,NA
333CFAF89579F4548E91BC2FD5F5A177,Printemps 2021,Branche,IM,6,IND,6,Apprentissage (Formation initiale),etudiants,NA,NA
65D1D7FA60936413A91B32F500848AD1,Printemps 2020,Branche,GI,6,3IC,10,Apprentissage (Formation initiale),etudiants,NA,NA
A92A744D3445E2BA11D685CD8D305724,Printemps 2020,Branche,GI,6,3IC,10,Apprentissage (Formation initiale),etudiants,NA,NA
C5BA0BAE2F56A4E1032829F0F2780329,Printemps 2021,Branche,IM,7,CPT,12,Apprentissage (Formation initiale),etudiants,NA,NA
817095A3E509EFFBF53C26C122A6F618,Printemps 2021,Branche,GI,7,3IC,12,Apprentissage (Formation initiale),etudiants,NA,NA
6525CBDBE114E993E1A25EB85ED3DD7C,Printemps 2020,Branche,IM,6,CPT,10,Apprentissage (Formation initiale),etudiants,NA,NA
