Code,class
AP00,1.0
AP51,7.0
AP52,3.0
AP53,8.0
AR03,1.0
AR04,1.0
AS01,1.0
AS02,1.0
AV01,5.0
BA01,8.0
BA02,8.0
BA03,5.0
BA04,8.0
BA05,8.0
BA06,10.0
BA07,2.0
BA08,3.0
BA09,3.0
BI01,10.0
BL10,2.0
BL16,10.0
BL17,2.0
BL20,2.0
BL22,10.0
BL30,7.0
BL40,2.0
BM01,7.0
BM02,7.0
BM03,7.0
BM04,7.0
BM05,7.0
BM06,3.0
BM07,5.0
BM08,7.0
BMI4,7.0
BT02,2.0
BT03,7.0
BT06,7.0
BT07,7.0
BT09,7.0
BT10,2.0
BT21,10.0
BZ08,7.0
CF04,9.0
CM04,9.0
CM05,9.0
CM06,2.0
CM08,7.0
CM15,9.0
CM40,9.0
CM70,2.0
CM71,2.0
DD01,1.0
DD02,7.0
DF01,3.0
DF02,7.0
DF03,10.0
DF04,7.0
DI01,7.0
DI02,7.0
DI03,7.0
DI04,7.0
DI05,1.0
DI06,7.0
DI08,7.0
DS01,7.0
EG01,7.0
EI03,1.0
EI04,6.0
EI05,1.0
EI06,1.0
EL01,8.0
EL02,8.0
EN14,8.0
EN21,8.0
EV01,2.0
EV02,2.0
EV03,2.0
FQ01,2.0
FQ04,2.0
GA38,7.0
GE10,6.0
GE13,6.0
GE15,6.0
GE20,6.0
GE21,6.0
GE22,6.0
GE24,7.0
GE25,2.0
GE26,1.0
GE27,7.0
GE28,6.0
GE29,6.0
GE36,6.0
GE37,2.0
GE38,7.0
GE39,6.0
GE40,2.0
GE90,10.0
HE01,1.0
HE03,1.0
HT01,1.0
IA01,3.0
IA02,3.0
IA03,7.0
IA04,3.0
IC01,10.0
IC05,2.0
IC06,2.0
ICX7,6.0
INF2,3.0
IQ01,3.0
ISCF,7.0
LA00,4.0
LA01,4.0
LA02,4.0
LA03,4.0
LA04,4.0
LA11,4.0
LA12,4.0
LA13,4.0
LA14,1.0
LA15,1.0
LA20,4.0
LA21,4.0
LA22,4.0
LA23,4.0
LA24,4.0
LA91,4.0
LA92,4.0
LA93,4.0
LA94,4.0
LB14,1.0
LB24,4.0
LC14,4.0
LD14,1.0
LG30,4.0
LG31,4.0
LG32,4.0
LG33,4.0
LG40,4.0
LG41,4.0
LG42,4.0
LG50,4.0
LG51,4.0
LG52,4.0
LG53,4.0
LG60,4.0
LG61,4.0
LG62,4.0
LG63,4.0
LH12,4.0
LH13,4.0
LH14,1.0
LH15,4.0
LH16,1.0
LH18,4.0
LO17,2.0
LO21,3.0
LO22,3.0
LO23,2.0
LX13,4.0
MC01,8.0
MC02,8.0
MC05,8.0
MC06,8.0
MC07,8.0
MC08,8.0
MG01,1.0
MG06,7.0
MI01,8.0
MI11,3.0
MI12,3.0
MP02,8.0
MP03,8.0
MQ01,5.0
MQ02,9.0
MQ03,9.0
MQ04,5.0
MQ05,5.0
MQ06,3.0
MQ07,5.0
MQ08,5.0
MQ09,9.0
MQ10,5.0
MQ11,5.0
MQ12,7.0
MQ13,5.0
MQ14,3.0
MQ16,9.0
MQ17,5.0
MQ18,9.0
MQ19,9.0
MQ20,9.0
MS01,9.0
MS02,7.0
MS03,5.0
MT09,9.0
MT10,3.0
MT11,9.0
MT12,3.0
MU01,1.0
MU03,1.0
NA05,6.0
NF02,8.0
NF04,3.0
NF05,6.0
NF11,3.0
NF15,8.0
NF16,3.0
NF18,3.0
NF22,3.0
NF23,3.0
NF24,9.0
NF28,7.0
PH01,1.0
PH02,1.0
PH03,1.0
PH09,1.0
PH10,1.0
PR00,2.0
PS05,9.0
PS09,5.0
PS12,5.0
PS13,9.0
PS15,9.0
RO03,3.0
RO04,3.0
RO05,9.0
RO06,3.0
RR01,9.0
RR02,9.0
RV01,7.0
SA11,1.0
SA12,1.0
SC01,1.0
SC11,1.0
SC12,1.0
SC21,1.0
SC22,1.0
SC24,1.0
SC25,1.0
SC26,10.0
SI01,1.0
SI02,1.0
SI07,6.0
SI11,1.0
SI14,1.0
SI20,1.0
SI22,1.0
SI24,6.0
SI28,2.0
SI90,6.0
SO04,6.0
SO05,6.0
SO06,7.0
SO07,6.0
SP01,1.0
SP02,1.0
SP11,1.0
SP22,1.0
SR01,4.0
SR02,4.0
SR03,3.0
SR04,4.0
SR05,3.0
SR06,6.0
SR07,4.0
SR08,3.0
SR09,7.0
SY02,3.0
SY03,8.0
SY04,8.0
SY05,9.0
SY06,3.0
SY08,3.0
SY09,3.0
SY10,3.0
SY12,8.0
SY14,9.0
SY15,3.0
SY19,3.0
SY27,3.0
SY28,7.0
SY31,7.0
SY32,3.0
TA02,7.0
TF01,9.0
TF06,9.0
TF14,9.0
TF70,8.0
TF71,2.0
TH02,8.0
TH04,8.0
TN02,7.0
TN08,7.0
TN12,7.0
TN13,7.0
TN14,3.0
TN20,7.0
TN21,7.0
TN22,5.0
TN23,8.0
TN24,8.0
TN29,10.0
TN30,7.0
TO01,1.0
TO02,4.0
TS01,7.0
TS02,2.0
TSN1,7.0
TSN2,7.0
TX00,5.0
TZ,7.0
UB01,2.0
UB02,2.0
UB03,2.0
UB06,2.0
UB08,3.0
UB10,8.0
UR02,2.0
UR03,7.0
UR05,2.0
UR06,10.0
UR07,2.0
WE01,6.0
XL22,10.0
CM11,9.0
CM12,5.0
CM13,5.0
HT05,1.0
INF1,3.0
IS02,7.0
MT22,9.0
MT23,9.0
NF92,7.0
NF93,3.0
NP90,7.0
PS04,9.0
PS21,9.0
PS23,9.0
PS24,5.0
PS90,7.0
PS93,5.0
PS94,8.0
SV02,7.0
SY01,9.0
TF11,9.0
TN01,8.0
TN03,5.0
TN04,1.0
TN06,9.0
