"Code","Intitule","Credits","Domaine","Theme","Categorie","Enseignee_en","Responsable_Automne","Responsable_Printemps","Description","Niveau_conseille","Prerequis","Final","Conditions_evaluation","Conditions_attribution","Mots_cles","Objectif_formation","Objectifs_pedagogiques_specifiques","Objectifs_pedagogiques_transverses","Programme","Resulat"
"AP00 "," ATELIER PROJET","6","Ingenierie de l'environnement","Autres","Techniques (TM-ST)","Automne, Printemps","Fabien LAMARQUE ","Fabien LAMARQUE ","les ateliers-projets sont au centre de l'innovation pedagogique du departement GU. Ils representent la forme la plus accomplie de la pedagogie par projet en mettant les etudiants en situation d'apprendre Ã  gerer un vrai projet et Ã  travailler ensemble, dans le cadre d'un projet dont les enjeux sont reels.","Gx","","Non","Automne : La forme de l'evaluation depend de la commande et est definie par les enseignants au debut de l'Atelier-Projet. Printemps : La forme de l'evaluation depend de la commande et est definie par les enseignants au debut de l'Atelier-Projet."," "," Travail en equipe autonomie commande outil du projet pedagogie par le projet ","d'organiser un travail de groupe, de l'animer, de repartir et de planifier ce travail d'elaborer un approche strategique sur un theme nouveau.","imaginer une methode de travail de groupe, gerer un projet dans la duree, recenser les moyens et methodes a  mobiliser pour etre capable de maitriser en peu de temps un sujet inconnu a  l'origine.","","",""
"AP51 "," ATELIER PROJET CONCEPTION MÃ‰CANIQUE INTÃ‰GRÃ‰E","8","Outils et methodes de l'ingenieur","Conception, fabrication","Techniques (TM-ST)","Automne","Emmanuel DORE "," ","AP specifique CMI : propose aux etudiants de mener une etude de conception de systeme mecanique, basee sur une problematique industrielle, en equipe-projet. Objectifs : amener les etudiants Ã  savoir analyser un besoin, comprendre les problematiques et enjeux (contexte d'etude) et utiliser de façon coordonnee les connaissances scientifiques, methodologiques et technologiques acquises durant leurs cursus","IM05","Prerequis individuel : MQ01, TN12, TN13, TN20; prerequis collectif : MS02, SY04, SY03, GE37, MQ03, MQ18, MQ06, TN21, TN14, DI05","Non","Automne : evaluation individuelle : compte-rendus et entretiens [50%] evaluation collective (groupe): dossier de suivi final (rapport de capitalisation) + 2 revues de projet (intermediaire + final) [50%] ","Automne : L'UV est attribuee a  un etudiant ayant obtenu au moins E a  chaque evaluation "," ingenierie simultanee ingenierie numerique integration mecanique ","- mener a  bien un projet de conception de systeme mecanique complexe. ","- ameliorer l'aisance du travail en equipe dans une structure projet, adopter une posture professionnelle - utiliser et/ou consolider les connaissances scientifiques acquises - mettre en application, savoir analyser, savoir communiquer","","Projet de conception de systeme mecanique, avec un porteur industriel et un referent UTC","L'etudiant ayant suivi cette formation sera capable, a  l'issue, de mener a  bien un projet de conception de systeme mecanique complexe. "
"AP52 "," SIMULATION POUR L'INGÃ‰NIERIE MÃ‰CANIQUE","8","Modelisation et simulation","Modelisation et simulation","Techniques (TM-ST)","Automne","Ludovic CAUVIN "," ","Cette UV est organisee sous la forme d'un atelier projet. Cela consiste Ã  mener Ã  bien un projet de modelisation et d'optimisation d'un systeme mecanique sur le semestre. Les etapes principales sont : Etude theorique du probleme, construction d'un modele elements finis, mise en oeuvre des simulations numeriques avancees et optimisation du systeme","IM05","Obligatoires : MQ01 ou MQ02, MQ06 - Facultatifs : MQ16, MQ19, MQ14, BM08","Non","Automne : * Rapport d'avancement a  mi-semestre * Soutenance intermediaire a  mi-semestre * Rapport final de projet (rendu le jour de la soutenance) * Soutenance Finale * ""appreciation"" du travail sur le semestre par l'industriel et l'equipe enseignante ","Automne : Moyenne > 10 (rapport intermediaire, soutenance intermediaire, rapport final, soutenance finale, ""appreciation"" du travail sur le semestre par l'industriel et l'equipe enseignante). "," Modelisation par elements finis Optimisation Muliphysique ","expertiser un systeme mecanique par des simulations numeriques ","- comprendre la problematique posee par l'industriel; - identifier des orientations dans le but de repondre a  la problematique - choisir les outils appropries; - mettre en oeuvre les moyens choisis; - simuler et/ou optimiser par elements finis le comportement mecanique d'un systeme; - analyser les resultats; - critiquer les resultats en vue de mieux comprendre, voir ameliorer le systeme;","- travailler en equipe; - organiser leur travail (gerer leur temps et la repartition des taches); - rediger des documents scientifiques et techniques; - rediger des cahiers des charges et documents de gestion de projet. ","",""
"AP53 "," PRODUCTION INTÃ‰GRÃ‰E ET LOGISTIQUE","8","Modelisation et simulation","Modelisation et simulation","Techniques (TM-ST)","Automne","Valerie MOREAU "," ","Dans le cadre d'un projet reel dans un domaine technique liee Ã  la filiere PIL, les etudiants seront amenes Ã  conduire une demarche d'amelioration des performances d'un site industriel en prenant en comptes des indicateurs ecologiques, economiques et sociaux.","IM04/IM05","Au moins une UV parmi GE37, MP02, RO06, SY12, MP03, DD02, IS02","Non","Automne : Projet : Evaluation de la realisation des taches, du travail en groupe, des livrables et des revues de projet. ","Automne : Projet : 100% "," Lean manufacturing Accompagnement du changement Performance industrielle Transition ecologique Management de projet ","Concevoir, organiser, gerer et/ou ameliorer une unite de production (type atelier) et/ou une unite logistique (type magasin) selon des criteres de performance ecologique, sociale et economique, tout en contribuant a  l'accompagnement du changement induit par le projet aupres des differents niveaux hierarchiques concernes.","- s'approprier les enjeux d'un projet industriel dans un contexte de transition ecologique, - m'aitriser les codes de communication au sein d'un site industriel, - mener une demarche de gestion de projet, - collecter des donnees, - valoriser les activites realisees et les resultats obtenus aupres d'une direction, - mettre en oeuvre des outils et methodes d'amelioration des performances industrielles en situation reelle, - manipuler des outils de modelisation numerique des flux et/ou de la production. ","- comprendre les enjeux strategiques du secteur industriel en matiere de transition ecologique nationale et mondiale, - comprendre les enjeux strategiques de l'activite d'un ingenieur au sein d'une entreprise industrielle, - travailler en groupe, - animer des equipes sans legitimite hierarchique, - valoriser ses competences. ","Introduction aux outils specifiques necessites par le projet Realisation du projet",""
"AR03 "," ART, SOCIÃ‰TÃ‰ ET TECHNIQUES","4","Sciences de la communication","Sciences de la communication","Technologie et Sciences de l'Homme","Automne, Printemps","Barbara OLSZEWSKA ","Barbara OLSZEWSKA ","Le cours propose une rÃƒÂ©flexion sur des liens entre l'art et la sociÃƒÂ©tÃƒÂ©, sur la maniÃƒÅ¡re dont l'art transforme et enrichit la perception des situations sociales ordinaires en interrogeant l'ÃƒÂ©volution des pratiques artistiques leur lien avec la sociÃƒÂ©tÃƒÂ© et les techniques. Il se rÃƒÂ©fÃƒÅ¡reA Ãƒ  l'histoire des avant-gardes, et analyse leur influence sur les pratiques artistiques contemporaines, oeuvres et thÃƒÂ©ories qui les sous-tendent.","Tous niveaux","Motivation pour des questions d'art","Oui","Automne : Repartition egale en 3 types de travaux : - recherche documentaire et presentation d""un mouvement d'art/oeuvres (travail en groupes de 2/3 etudiants) - travail critique, ecrit individuel, exercices creatifs - travail empirique (enquaƒÂªte sur une pratique artistique, la rencontre avec un artiste, presentation orale du travail en cours et sa realisation finale sous forme d'un blog, travail collectif, groupe de 2/3 etudiants) Evaluation: Exposes, exercices, participation (entretiens, avancement de projets), travail sur des projets en cours (en groupe): 60% Soutenance : 15 % Blog : 25% Printemps : Evaluation: CC: ExposaƒÂƒAÂ©s, exercices, praƒÂƒAÂ©sence & participation, l'avancement de travail de recherche : 60% Soutenance : 15% Blog (travail en groupe) : 25% 3 absences injustifiaƒÂƒAÂ©es invalident l'attribution de l'UV ","Automne : Faire preuve d'engagement dans chacune des activites individuelles et collectives de l'enseignement. Fournir un travail documente, pertinent et critique, en lien avec les textes et les notions abordees en cours. Printemps : Faire preuve d'engagement dans chacune des activitaƒÂƒAÂ©es individuelles et collectives de l'enseignement. Fournir un travail documentaƒÂƒAÂ©. "," performance esthetique art et societe enquete son film arts visuels et numeriques art et nature avant-garde architecture ","- mener une reflexion sur l'evolution des pratiques artistiques en interrogeant des liens qui se nouent entre les avant-gardes et l'art contemporain, les arts et l'esthetique du quotidien, l'art et les technologies. - Projet : mener une enquaƒÂªte/ un entretien filmee aupraƒÅ¡s d'un artiste - Realiser un blog","- reperer les fondements esthetiques des pratiques artistiques et leur lien avec la societe, son evolution - reconnaaƒÂ®tre les differents mouvements d'art moderne/contemporain, savoir etablir les liens entre l'art et technologies, arts et sciences, arts et societe ","","14 soutenances (1h de cours + 2h de TD) par semestre environ divisoutenes en trois groupes d'activitoutens : - Notion thoutenoriques sur l'art moderne et contemporain (routenvolution de la notion de l'art et ses pratiques dans des avant-garde ; L'art comme expoutenrience (appui sur les textes philosophiques) ; place des technologies dans le doutenveloppement des pratiques artistiques contemporaines - Recherches et exposoutens menoutenes par les outentudiants dans le champs de l'histoire de l'art des avant-gardes et l'art contemporain (mouvements/ approches : furturisme, dada, surroutenalisme, lettrisme, poesie sonore... dans les diffoutenrents champs : arts plastiques, peinture, architecture, danse, musique, happenings....) - EnquaƒÂƒAÂªte et entretien filmouten avec un artiste ","Les resultats recherches sont : - Apprendre a  reperer les fondements esthetiques des pratiques artistiques - Reconn'aitre sans reductions, les differences entre art et design, entre experience esthetique et usage efficient. - Apprendre a  poser des questions en arts et techniques - Developper une pensee critique en arts et techniques "
"AR04 "," ART, VILLE, ARCHITECTURE","4","Sciences de la communication","Sciences de la communication","Technologie et Sciences de l'Homme","Automne","Valerie VALLEE "," ","l'UV montre les rapports entre les arts plastiques, l'architecture, les jardins et la ville Ã  travers les siecles. Elle presente les revolutions conceptuelles, leur impact et leurs prolongations sur ces differents domaines.","GU01 et GU02","","Oui","Automne : MEDIAN : 25% FINAL : 25 % TD1 : 25% TD2 : 25% ","Automne : Note superieure a  la moyenne Final note eliminatoire < 7/20 "," architecture art patrimoine ville ","Comprendre les enjeux culturels de son milieu d'intervention professionnel","Comprendre la relation entre les differents domaines artistiques et les mutations qui les ont transformes .","Evaluer l'impact culturel potentiel d'un projet dans le champ architectural ou urbain;","Le programme de l'UV se deroulera autour des themes suivants : - le cadre theorique : une approche renouvelee de l'histoire de l'architecture. - les rapports entre arts, ville et architecture : le systeme des Beaux-Arts, le cas haussmannien, art et technologies aux 19e et 20e siecles, le mouvement Art Nouveau, le Mouvement Moderne, la periode contemporaine. - le role des materiaux dans l'evolution de l'art architectural et urbain. - le patrimoine dans la ville d'aujourd'hui. Cette approche sera completee par des travaux diriges qui permettront aux etudiants d'aborder les problematiques evoquees dans le cours au travers d'une etude de cas.","Ce cours doit permettre aux etudiants de mieux comprendre les aspects complexes de l'architecture et de l'urbanisme qui, bien que partiellement rattaches au domaine des arts, s'en distinguent notablement, en raison de leurs multiples implications dans la vie technique, economique et sociale."
"AS01 "," LES COLLECTIFS DE L'INGÃ‰NIEUR CONTEMPORAIN","4","Sciences humaines et sociales","Sciences humaines et sociales","Technologie et Sciences de l'Homme","Automne, Printemps","Hugues CHOPLIN ","Hugues CHOPLIN ","La tres grande majorite des situations importantes vecues par les ingenieurs contemporains se jouent dans des collectifs singuliers, composes d'acteurs tres heterogenes, agites par des dynamiques imprevisibles. Comment analyser ces collectifs et y agir en tant qu'ingenieur ? De surcroÃ®t, comment apprehender les limites de ces dynamiques collectives Ã  une epoque oÃ¹ l'exigence ecologique semble requerir l'invention de nouvelles solidarites ?","Branche","aucun","Non","Automne : L'obtention de l'UV supposera : - un travail d'enquaªte en p'tit groupe (50% de la note) ; - un travail de ""these critique"" en binome/trinome (50% de la note). Printemps : L'obtention de l'UV supposera : - un travail d'enquaªte en p'tit groupe (50% de la note) ; - un travail de ""these critique"" en binome/trinome (50% de la note.","Automne : Moyenne des deux productions demandees superieure ou egale a  E. Printemps : Moyenne des deux productions demandees superieure ou egale a  E."," reseau / communaute  collectifs enquete ingenieur contemporain exigences ecologiques capitalisme contemporain ","- d'identifier les ""facteurs"" determinant les dynamiques collectives dans lesquelles il evoluera en tant qu'ingenieur ","- d'identifier les Â« facteurs Â» determinant les dynamiques collectives dans lesquelles il sera pris en tant qu'ingenieur (jeux de contraintes ; objet intermediaire et Â« negoci-action Â» ; evenement et inventivite collective) ; - d'identifier certaines limites de ces dynamiques collectives propres au capitalisme contemporain. ","- definir des scenarios d'action collective relevant de compromis ; - developper une demarche reposant sur la formulation et le test d'hypotheses ; - questionner, ecouter et reformuler les propos d'un ingenieur jusque-la  inconnu. ","Le contenu de l'UV s'articule autour de deux situations professionnelles reelles tenues pour representatives des situations de l'ingenieur contemporain. Pour chacune d'entre elles : 1. Le temoignage d'un ou plusieurs acteurs ayant vecu cette situation suivi d'interactions avec les etudiants (2h de cours) 2. Une formalisation de cette situation par les etudiants (1h de TD) 3. Une identification d'une situation analogue en entreprise (1h de TD apprentis) 4. Trois eclairages SHS complementaires de cette situation illustrant les 3 lignes du tableau TSH et au moins une des deux colonnes (3 x 2h de cours) 5. Une synthese de ces apports disciplinaires par les etudiants au regard de la situation (3 x 1h de TD) 6. Une transposition sur une situation vecue en entreprise (3 x 1h de TD pour les apprentis) 7. Une synthese generale et une mise en perspective relative au metier de l'ingenieur contemporain (2h cours, 1h de TD (2h de TD apprentis)). ","Au terme de cette UV l'etudiant devrait avoir compris comment il est possible de mobiliser les concepts et demarches des SHS pour analyser une situation professionnelle. Il devrait ainsi etre pret a  en conduire une par lui-meme dans le cadre de l'UV AS02 sur une thematique du mineur qu'il suit, lors de TN09 ou du PFE, en etant accompagne par l'un des enseignants."
"AS02 "," ACCOMPAGNEMENT POUR L'ANALYSE DES SITUATIONS DE L'INGÃ‰NIEUR","4","Sciences humaines et sociales","Sciences humaines et sociales","Technologie et Sciences de l'Homme","Automne, Printemps","Isabelle CAILLEAU ","Isabelle CAILLEAU ","L'UV propose un accompagnement individualise par un enseignant chercheur en sciences humaines et sociales, pour analyser une situation professionnelle observee (prioritairement en TN09 ou TN10) Ã  l'aide de methodes et/ou de concepts issus des sciences humaines. L'etudiant approfondira sa reflexion sur le metier de l'ingenieur.","Branche","AS01 validee avant A20","Non","Automne : L'obtention de l'UV repose sur un rapport individuel comptant pour 100% de la note. Printemps : L'evaluation de l'UV porte sur le rapport d'analyse.","Automne : Moyenne des deux productions demandees superieure ou egale a  E. Printemps : Note superieure ou egale a  E"," complexite resolution de probleme metier d'ingenieur ","mettre en oeuvre une demarche d'analyse de situation professionnelle qui mobilise des concepts SHS et de produire des scenarios d'action argumentes.","- decrire une situation vecue ou observee en stage et reperant les tensions qui la traversent; - s'approprier de maniere autonome un concept des SHS en rapport avec le probleme que souleve la situation; - problematiser par la formulation d'une question directrice de l'enquete qui se fonde sur le concept de SHS choisi et en y associant des hypotheses de reponse; - collecter et exploiter les informations necessaires a  la mise a  l'epreuve des hypotheses; - analyser les informations collectees et en proposant sur cette base des scenarios d'actions possibles. ","- problematiser et construire des choix argumentes en situation. - critiquer de textes academiques. ","",""
"AV01 "," INITIATION Ã€ L'ANALYSE ET Ã€ LA RÃ‰ALISATION AUDIOVISUELLE","4","Sciences de la communication","Sciences de la communication","Technologie et Sciences de l'Homme","Automne, Printemps","Esteban ZUNIGA DOMINGUEZ ","Esteban ZUNIGA DOMINGUEZ ","UV d'initiation Ã  l'audiovisuel Ã  travers une reflexion theorique, des analyses de documents et des realisations video sous contraintes.","Ã  partir de TC03","","Non","Automne : 3 travaux pratiques, 1 entretien et 1 realisation audiovisuelle finale. Printemps : 3 travaux pratiques, 1 entretien et 1 realisation audiovisuelle finale.","Automne : - 45% travaux pratiques + 40% realisation finale + 15% entretien >= 10 - avoir une note au moins egale a  10/20 -l'absence injustifiee de remise de la moitie des travaux pratiques est eliminatoire Printemps : 45% travaux pratiques + 40% realisation finale + 15% entretien >= 10 Avoir une note au moins egale a  10/20 L'absence injustifiee de remise de la moitie des travaux pratiques et de la realisation finale est eliminatoire "," audiovisuel convergence numerique industries culturelles montage ","Pour aborder la complexite et la multiplicite des aspects de l'audiovisuel, l'UV developpe des axes complementaires : theorique, analytique et pratique. Ils visent a  la fois a  : - Engager une reflexion theorique sur la specificite de l'audiovisuel, son histoire et ses enjeux - Fournir un outillage conceptuel sur l'ecriture audiovisuelle - Familiariser les etudiants a  l'analyse de documents temporels - Initier les etudiants aux differentes etapes d'ecriture a  travers des realisations audiovisuelles sous contraintes","- Acquerir un bagage conceptuel sur l'histoire et les theories de l'audiovisuel - M'aitriser le vocabulaire et des notions propres au domaine - Decrire, analyser et critiquer des documents audiovisuels - Utiliser une camera numerique et un outil de montage virtuel video","","L'objectif de cette partie est d'engager les etudiants dans une reflexion theorique generale sur l'audiovisuel en tant que mode d'expression, mis en perspective dans l'histoire de l'humanite et de ses techniques. En particulier, les questions suivantes seront abordees : - l'evolution des supports d'enregistrement, de diffusion et de reception - la continuite du flux audiovisuel et les modalites techniques d'apprehension des objets temporels - les changements apportes par le numerique audiovisuel (nouveaux modes de production, nouveaux supports, nouveaux usages) Elements d'ecriture et d'analyse audiovisuelle : L'objectif de cette partie est de fournir aux etudiants un outillage conceptuel sur l'ecriture audiovisuelle et de les familiariser a  l'analyse de documents. Sont par exemple traitees les notions suivantes : - cadre, champ, hors-cadre, hors-champ, - profondeur de champ - echelle de plan - angles de camera - mouvements de camera - sons in/off, intra/extra-diegetique - construction de la continuite - recit, scenario, point de vue narratif Certains aspects abordes font l'objet d'exercices pratiques sur des documents videos a  l'aide d'outils informatiques d'analyse audiovisuelle. Realisations audiovisuelles Chaque etudiant (en binome)produit 1 bande annonce et 1 realisation video en choisissant parmi plusieurs sujets proposes. Cette realisation comprend a  la fois la preparation (intentions, ecriture, reperage), le tournage (camera DV), et le montage numerique (banc de montage virtuel).","- Acquisition d'un bagage conceptuel sur l'histoire et les theories de l'audiovisuel, - M'aitrise du vcabulaire et des notions propres au domaine, - Capacite de description, d'analyse et de critique des documents audiovisuels, - Utilisation d'une camera numerique et d'un outil de montage virtuel video."
"BA01 "," Ã‰QUIPEMENTS TECHNIQUES DU BÃ‚TIMENT","6","Genie civil, genie urbain, amenagement","Batiments","Techniques (TM-ST)","Printemps"," ","Manuela SECHILARIU ","Cette UV traite les equipements techniques d'un batiment (installation electrique, chaud, froid, ventilation, energies renouvelables integrees au batiment) au travers des principaux types d'equipements existants, et ceci d'un point de vue fonctionnement, dimensionnement, coÃ»t global, contraintes. Une attention particuliere est donnee aux equipements Ã  base d'energie renouvelable.","GX04, GX05","UVs souhaitables : UB10","Oui"," Printemps : Median : 20% Projet : 40% (30% rapport et 10% soutenance) Final : 40% et une note eliminatoire pour l'examen final ; si note <08/20 alors UV non validee"," Printemps : Median : 20% Projet : 40% (30% rapport et 10% soutenance) Final : 40% et une note eliminatoire pour l'examen final ; si note <08/20 alors UV non validee Moyenne generale >= 10"," electricite chauffage climatisation eau chaude sanitaire ventilation energies renouvelables ","- Posseder un socle de connaissances fondamentales pluridisciplinaires en sciences de l'ingenieur dans des domaines comme les equipements techniques du batiment, l'electricite, la production dÂ’energie, et l'integration des systemes ... ","- Decrire et definir les systemes techniques du batiment; - Choisir les solutions en prenant en compte le projet dans sa globalite; - Choisir un equipement le gerer pendant sa duree de vie et decider son remplacement; - Construire, expliquer, integrer et formuler les systemes techniques du batiment; - Examiner, rechercher et separer les differentes contraintes liees aux equipements et leur gestion ; - Utiliser les outils mathematiques, statistiques, numeriques, et de physique appliquee requis en sciences de l'ingenieur ; - Appliquer les outils numeriques de conception et de gestion adaptes au batiment (CAO, dimensionnement, etc.), a  la simulation et lÂ’aide a  la decision pour les projets de construction. - Proposer des solutions innovantes a  des problemes technologiques, societaux ou operationnels des batiments dans une perspective de developpement durable. ","- Participer a  un projet en equipe, aussi bien en tant que chef de projet que contributeur actif. - Gerer le montage et la mise en oeÂœuvre d''operations de construction et de gestion technique des batiments. - Gerer ou assister toutes les phases d''un projet de site bati ou de patrimoine immobilier en integrant les dimensions multi techniques (construction, installations et equipements, automatismes, materiaux) et multiservice (fonctionnement, gestion, confort, usage, energies, securite). ","Systeme electrique : - installation electrique, alimentation et TGBT, - tarification et optimisation des contrats, puissance et consommation, controle de la puissance, - groupe electrogene, cogeneration. Systeme thermodynamique : - chauffage (rendements, solutions techniques ; chauffage electrique, au gaz, au fuel, au charbon, au bois ; chauffage central, chaudieres et corps de chauffe), - climatisation et rafr'aichissement (systeme decentralise et systeme centralise, pompe a  chaleur, emetteurs, capteurs), - eau chaude sanitaire (procedes de production et modes de production). Systeme aeraulique : - ventilation (objectifs, dispositions reglementaires, procedes de ventilation), - solutions optimales en ventilation. Equipements techniques a  base d'energies renouvelables : - systeme solaire (photovoltaa¯que et thermique), - systeme eolien, - biomasse, - pile a  combustible, - geothermie.","A la fin de l'UV, l'etudiant doit : Conn'aitre et comprendre les systemes techniques du batiment Analyser les differentes contraintes liees aux equipements et a  leur gestion Choisir les solutions en prenant en compte le projet dans sa globalite : choisir un equipement, le gerer pendant sa duree de vie et decider son remplacement."
