"","Code","Description"
"1","AP00","les ateliers-projets sont au centre de l'innovation pedagogique du departement GU. Ils representent la forme la plus accomplie de la pedagogie par projet en mettant les etudiants en situation d'apprendre à gerer un vrai projet et à travailler ensemble, dans le cadre d'un projet dont les enjeux sont reels."
"2","AP51","AP specifique CMI : propose aux etudiants de mener une etude de conception de systeme mecanique, basee sur une problematique industrielle, en equipe-projet. Objectifs : amener les etudiants à savoir analyser un besoin, comprendre les problematiques et enjeux (contexte d'etude) et utiliser de facon coordonnee les connaissances scientifiques, methodologiques et technologiques acquises durant leurs cursus"
"3","AP52","Cette UV est organisee sous la forme d'un atelier projet. Cela consiste à mener à bien un projet de modelisation et d'optimisation d'un systeme mecanique sur le semestre. Les etapes principales sont : Etude theorique du probleme, construction d'un modele elements finis, mise en oeuvre des simulations numeriques avancees et optimisation du systeme"
"4","AP53","Dans le cadre d'un projet reel dans un domaine technique liee à la filiere PIL, les etudiants seront amenes à conduire une demarche d'amelioration des performances d'un site industriel en prenant en comptes des indicateurs ecologiques, economiques et sociaux."
"5","AR03","Le cours propose une reflexion sur des liens entre l'art et la societe, sur la maniere dont l'art transforme et enrichit la perception des situations sociales ordinaires en interrogeant l'evolution des pratiques artistiques leur lien avec la societe et les techniques. Il se refere a  l'histoire des avant-gardes, et analyse leur influence sur les pratiques artistiques contemporaines, oeuvres et theories qui les sous-tendent."
"6","AR04","l'UV montre les rapports entre les arts plastiques, l'architecture, les jardins et la ville à travers les siecles. Elle presente les revolutions conceptuelles, leur impact et leurs prolongations sur ces differents domaines."
"7","AS01","La tres grande majorite des situations importantes vecues par les ingenieurs contemporains se jouent dans des collectifs singuliers, composes d'acteurs tres heterogenes, agites par des dynamiques imprevisibles. Comment analyser ces collectifs et y agir en tant qu'ingenieur ? De surcroît, comment apprehender les limites de ces dynamiques collectives à une epoque où l'exigence ecologique semble requerir l'invention de nouvelles solidarites ?"
"8","AS02","L'UV propose un accompagnement individualise par un enseignant chercheur en sciences humaines et sociales, pour analyser une situation professionnelle observee (prioritairement en TN09 ou TN10) à l'aide de methodes et/ou de concepts issus des sciences humaines. L'etudiant approfondira sa reflexion sur le metier de l'ingenieur."
"9","AV01","UV d'initiation à l'audiovisuel à travers une reflexion theorique, des analyses de documents et des realisations video sous contraintes."
"10","BA01","Cette UV traite les equipements techniques d'un batiment (installation electrique, chaud, froid, ventilation, energies renouvelables integrees au batiment) au travers des principaux types d'equipements existants, et ceci d'un point de vue fonctionnement, dimensionnement, coût global, contraintes. Une attention particuliere est donnee aux equipements à base d'energie renouvelable."
"11","BA02","Ce cours presente une vue d'ensemble des principales fonctions et activites du management des services et de l'ingenierie technique de parcs d'actifs physiques : 1. Connaître et programmer : Elaborer et mettre en oeuvre un schema directeur. 2. Realiser et mettre en service : Construire, renover, maintenir et piloter l'exploitation et la maintenance courante. 3. Optimiser : Auditer, mesurer et evaluer la performance de la gestion."
"12","BA03","connaissance des comportements (mecanique, thermique, acoustiques, hydrique,tenue au feu, etc...), des principes de mise en oeuvre et des pathologies des principaux materiaux utilises dans la construction."
"13","BA04","L'UV abordera l'univers des energies renouvelables. Quelles sources d'energies ? Comment les capter, les transformer ? ... Les avantages et les inconvenients des energies renouvelables en termes scientifiques, techniques ainsi qu'economiques."
"14","BA05","Dans cette UV sont abordes l'architecture, les composants et le fonctionnement des reseaux de communication et de telegestion dedies aux equipements du batiment : KONNEX, LONmark, BACnet. La regulation et le contrôle des principaux systemes techniques du batiment seront etudies avec applications pratiques associees avec des simulations numeriques."
"15","BA06","cette UV traite les systemes constructifs d'un batiment au travers des principaux dispositifs structurels et de cloisonnement et ceci d'un point de vue fonctionnel, organisationnel, encombrement (pre-dimensionnement), coût global, contraintes,..."
"16","BA07","enseignement destine à initier l'etudiant à l'ensemble des moyens de conduite et de gestion du projet architectural : metiers, acteurs, processus, missions, methodes, outils."
"17","BA08","Ce cours dispense en anglais presente et developpe les concepts, enjeux, applications et technologies de la smart city et du smart building, en particulier dans le contexte de l'internet des objets (IoT) urbain et des reseaux de capteurs multi-domaines (transport, environnement, energie ...) Les methodes et outils de la science des donnees et de l'informatique urbaine seront introduits et mis en pratique avec le langage Python"
"18","BA09","L' UV concerne les principes de modelisation et d'analyse des structures en abordant les aspects mecaniques fondamentaux, le dimensionnement des charpentes metalliques et poutres en beton arme, la normalisation (Eurocodes). Le logiciel metier ROBOT est utilise en TP. Presentation d'etudes realisees par des BE Techniques."
"19","BI01","Au cours des dernieres annees un enorme progres des techniques biologiques experimentales a eu lieu et le nombre de donnees produites a extrêmement augmente. Des modeles et d'approches in silico capables d'analyser, interpreter et simuler les differents phenomenes biologiques sont donc necessaires. Ainsi, l'UV s'occupe de donner aux etudiants un ensemble de modeles et d'outils permettant de repondre aux differentes questions biologiques."
"20","BL10","la biochimie structurale et la physicochimie des solutions macromoleculaires, ainsi que des methodes d'analyse physico-chimique, sont presentees pour un public ayant peu de connaisances prealables en biochimie."
"21","BL16","Integration des voies metaboliques dans les phenomenes de croissance et de production de metabolites : application dans les industries de fermentation et de depollution. Cultures de cellules vegetales et animales. Conception et conduite de reacteurs."
"22","BL17","UV de fin de branche. Methodes et applications technologiques dans le domaine du genie des proteines et bases scientifiques en relation avec les aspects d'ingenierie."
"23","BL20","Rappel sur la cellule puis travail sur l' organisation structurale des membranes. Les implications en termes d'echanges intra et extracellulaires seront abordees, ainsi que des notions de moteurs moleculaires. Le metabolisme energetique et les voies de regulation seront traites."
"24","BL22","Cette UV consiste en une presentation generale des bases de la microbiologie et de la biologie moleculaire qui permettront d'aborder ensuite des domaines tels que le genie genetique, la microbiologie industrielle ou alimentaire."
"25","BL30","Apres avoir introduit le concept d'homeostasie et detaille les grands principes de contrôle, l'UV presente les principaux systemes de regulation des fonctions physiologiques. A l'issue de l'enseignement, l'etudiant sera capable de definir les principaux mecanismes physiologiques afin de dialoguer avec les acteurs du monde medical."
