"","Code","Mots_cles","Description","mix"
"1","AP00","Travail en equipe autonomie commande outil du projet pedagogie par le projet","les ateliers-projets sont au centre de l'innovation pedagogique du departement GU. Ils representent la forme la plus accomplie de la pedagogie par projet en mettant les etudiants en situation d'apprendre à gerer un vrai projet et à travailler ensemble, dans le cadre d'un projet dont les enjeux sont reels.","Travail en equipe autonomie commande outil du projet pedagogie par le projet les ateliers-projets sont au centre de l'innovation pedagogique du departement GU. Ils representent la forme la plus accomplie de la pedagogie par projet en mettant les etudiants en situation d'apprendre à gerer un vrai projet et à travailler ensemble, dans le cadre d'un projet dont les enjeux sont reels."
"2","AP51","ingenierie simultanee ingenierie numerique integration mecanique","AP specifique CMI : propose aux etudiants de mener une etude de conception de systeme mecanique, basee sur une problematique industrielle, en equipe-projet. Objectifs : amener les etudiants à savoir analyser un besoin, comprendre les problematiques et enjeux (contexte d'etude) et utiliser de facon coordonnee les connaissances scientifiques, methodologiques et technologiques acquises durant leurs cursus","ingenierie simultanee ingenierie numerique integration mecanique AP specifique CMI : propose aux etudiants de mener une etude de conception de systeme mecanique, basee sur une problematique industrielle, en equipe-projet. Objectifs : amener les etudiants à savoir analyser un besoin, comprendre les problematiques et enjeux (contexte d'etude) et utiliser de facon coordonnee les connaissances scientifiques, methodologiques et technologiques acquises durant leurs cursus"
"3","AP52","Modelisation par elements finis Optimisation Muliphysique","Cette UV est organisee sous la forme d'un atelier projet. Cela consiste à mener à bien un projet de modelisation et d'optimisation d'un systeme mecanique sur le semestre. Les etapes principales sont : Etude theorique du probleme, construction d'un modele elements finis, mise en oeuvre des simulations numeriques avancees et optimisation du systeme","Modelisation par elements finis Optimisation Muliphysique Cette UV est organisee sous la forme d'un atelier projet. Cela consiste à mener à bien un projet de modelisation et d'optimisation d'un systeme mecanique sur le semestre. Les etapes principales sont : Etude theorique du probleme, construction d'un modele elements finis, mise en oeuvre des simulations numeriques avancees et optimisation du systeme"
"4","AP53","Lean manufacturing Accompagnement du changement Performance industrielle Transition ecologique Management de projet","Dans le cadre d'un projet reel dans un domaine technique liee à la filiere PIL, les etudiants seront amenes à conduire une demarche d'amelioration des performances d'un site industriel en prenant en comptes des indicateurs ecologiques, economiques et sociaux.","Lean manufacturing Accompagnement du changement Performance industrielle Transition ecologique Management de projet Dans le cadre d'un projet reel dans un domaine technique liee à la filiere PIL, les etudiants seront amenes à conduire une demarche d'amelioration des performances d'un site industriel en prenant en comptes des indicateurs ecologiques, economiques et sociaux."
"5","AR03","performance esthetique art et societe enquete son film arts visuels et numeriques art et nature avant-garde architecture","Le cours propose une reflexion sur des liens entre l'art et la societe, sur la maniere dont l'art transforme et enrichit la perception des situations sociales ordinaires en interrogeant l'evolution des pratiques artistiques leur lien avec la societe et les techniques. Il se refere a  l'histoire des avant-gardes, et analyse leur influence sur les pratiques artistiques contemporaines, oeuvres et theories qui les sous-tendent.","performance esthetique art et societe enquete son film arts visuels et numeriques art et nature avant-garde architecture Le cours propose une reflexion sur des liens entre l'art et la societe, sur la maniere dont l'art transforme et enrichit la perception des situations sociales ordinaires en interrogeant l'evolution des pratiques artistiques leur lien avec la societe et les techniques. Il se refere a  l'histoire des avant-gardes, et analyse leur influence sur les pratiques artistiques contemporaines, oeuvres et theories qui les sous-tendent."
"6","AR04","architecture art patrimoine ville","l'UV montre les rapports entre les arts plastiques, l'architecture, les jardins et la ville à travers les siecles. Elle presente les revolutions conceptuelles, leur impact et leurs prolongations sur ces differents domaines.","architecture art patrimoine ville l'UV montre les rapports entre les arts plastiques, l'architecture, les jardins et la ville à travers les siecles. Elle presente les revolutions conceptuelles, leur impact et leurs prolongations sur ces differents domaines."
"7","AS01","reseau / communaute  collectifs enquete ingenieur contemporain exigences ecologiques capitalisme contemporain","La tres grande majorite des situations importantes vecues par les ingenieurs contemporains se jouent dans des collectifs singuliers, composes d'acteurs tres heterogenes, agites par des dynamiques imprevisibles. Comment analyser ces collectifs et y agir en tant qu'ingenieur ? De surcroît, comment apprehender les limites de ces dynamiques collectives à une epoque où l'exigence ecologique semble requerir l'invention de nouvelles solidarites ?","reseau / communaute  collectifs enquete ingenieur contemporain exigences ecologiques capitalisme contemporain La tres grande majorite des situations importantes vecues par les ingenieurs contemporains se jouent dans des collectifs singuliers, composes d'acteurs tres heterogenes, agites par des dynamiques imprevisibles. Comment analyser ces collectifs et y agir en tant qu'ingenieur ? De surcroît, comment apprehender les limites de ces dynamiques collectives à une epoque où l'exigence ecologique semble requerir l'invention de nouvelles solidarites ?"
"8","AS02","complexite resolution de probleme metier d'ingenieur","L'UV propose un accompagnement individualise par un enseignant chercheur en sciences humaines et sociales, pour analyser une situation professionnelle observee (prioritairement en TN09 ou TN10) à l'aide de methodes et/ou de concepts issus des sciences humaines. L'etudiant approfondira sa reflexion sur le metier de l'ingenieur.","complexite resolution de probleme metier d'ingenieur L'UV propose un accompagnement individualise par un enseignant chercheur en sciences humaines et sociales, pour analyser une situation professionnelle observee (prioritairement en TN09 ou TN10) à l'aide de methodes et/ou de concepts issus des sciences humaines. L'etudiant approfondira sa reflexion sur le metier de l'ingenieur."
"9","AV01","audiovisuel convergence numerique industries culturelles montage","UV d'initiation à l'audiovisuel à travers une reflexion theorique, des analyses de documents et des realisations video sous contraintes.","audiovisuel convergence numerique industries culturelles montage UV d'initiation à l'audiovisuel à travers une reflexion theorique, des analyses de documents et des realisations video sous contraintes."
"10","BA01","electricite chauffage climatisation eau chaude sanitaire ventilation energies renouvelables","Cette UV traite les equipements techniques d'un batiment (installation electrique, chaud, froid, ventilation, energies renouvelables integrees au batiment) au travers des principaux types d'equipements existants, et ceci d'un point de vue fonctionnement, dimensionnement, coût global, contraintes. Une attention particuliere est donnee aux equipements à base d'energie renouvelable.","electricite chauffage climatisation eau chaude sanitaire ventilation energies renouvelables Cette UV traite les equipements techniques d'un batiment (installation electrique, chaud, froid, ventilation, energies renouvelables integrees au batiment) au travers des principaux types d'equipements existants, et ceci d'un point de vue fonctionnement, dimensionnement, coût global, contraintes. Une attention particuliere est donnee aux equipements à base d'energie renouvelable."
"11","BA03","materiaux de construction pathologie beton bois verre comportement metaux","connaissance des comportements (mecanique, thermique, acoustiques, hydrique,tenue au feu, etc...), des principes de mise en oeuvre et des pathologies des principaux materiaux utilises dans la construction.","materiaux de construction pathologie beton bois verre comportement metaux connaissance des comportements (mecanique, thermique, acoustiques, hydrique,tenue au feu, etc...), des principes de mise en oeuvre et des pathologies des principaux materiaux utilises dans la construction."
"12","BA04","biomasse solaire production eolien transport hydraulique","L'UV abordera l'univers des energies renouvelables. Quelles sources d'energies ? Comment les capter, les transformer ? ... Les avantages et les inconvenients des energies renouvelables en termes scientifiques, techniques ainsi qu'economiques.","biomasse solaire production eolien transport hydraulique L'UV abordera l'univers des energies renouvelables. Quelles sources d'energies ? Comment les capter, les transformer ? ... Les avantages et les inconvenients des energies renouvelables en termes scientifiques, techniques ainsi qu'economiques."
"13","BA05","automates GTB GTC domotique supervision regulation controle capteurs actionneurs","Dans cette UV sont abordes l'architecture, les composants et le fonctionnement des reseaux de communication et de telegestion dedies aux equipements du batiment : KONNEX, LONmark, BACnet. La regulation et le contrôle des principaux systemes techniques du batiment seront etudies avec applications pratiques associees avec des simulations numeriques.","automates GTB GTC domotique supervision regulation controle capteurs actionneurs Dans cette UV sont abordes l'architecture, les composants et le fonctionnement des reseaux de communication et de telegestion dedies aux equipements du batiment : KONNEX, LONmark, BACnet. La regulation et le contrôle des principaux systemes techniques du batiment seront etudies avec applications pratiques associees avec des simulations numeriques."
"14","BA06","Batiment chantier structure gros oeuvre fondation enveloppe construction en bois organisation","cette UV traite les systemes constructifs d'un batiment au travers des principaux dispositifs structurels et de cloisonnement et ceci d'un point de vue fonctionnel, organisationnel, encombrement (pre-dimensionnement), coût global, contraintes,...","Batiment chantier structure gros oeuvre fondation enveloppe construction en bois organisation cette UV traite les systemes constructifs d'un batiment au travers des principaux dispositifs structurels et de cloisonnement et ceci d'un point de vue fonctionnel, organisationnel, encombrement (pre-dimensionnement), coût global, contraintes,..."
"15","BA07","projet acteurs processus methodes outils conception","enseignement destine à initier l'etudiant à l'ensemble des moyens de conduite et de gestion du projet architectural : metiers, acteurs, processus, missions, methodes, outils.","projet acteurs processus methodes outils conception enseignement destine à initier l'etudiant à l'ensemble des moyens de conduite et de gestion du projet architectural : metiers, acteurs, processus, missions, methodes, outils."
"16","BA08","sensor networks smart city deep learning smart building Python data science urban IoT urban computing smart for green machine learning","Ce cours dispense en anglais presente et developpe les concepts, enjeux, applications et technologies de la smart city et du smart building, en particulier dans le contexte de l'internet des objets (IoT) urbain et des reseaux de capteurs multi-domaines (transport, environnement, energie ...) Les methodes et outils de la science des donnees et de l'informatique urbaine seront introduits et mis en pratique avec le langage Python","sensor networks smart city deep learning smart building Python data science urban IoT urban computing smart for green machine learning Ce cours dispense en anglais presente et developpe les concepts, enjeux, applications et technologies de la smart city et du smart building, en particulier dans le contexte de l'internet des objets (IoT) urbain et des reseaux de capteurs multi-domaines (transport, environnement, energie ...) Les methodes et outils de la science des donnees et de l'informatique urbaine seront introduits et mis en pratique avec le langage Python"
"17","BA09","calcul des structures Statique et RDM constructions metalliques beton arme logiciel ROBOT dynamique de structures methode des elements finis","L' UV concerne les principes de modelisation et d'analyse des structures en abordant les aspects mecaniques fondamentaux, le dimensionnement des charpentes metalliques et poutres en beton arme, la normalisation (Eurocodes). Le logiciel metier ROBOT est utilise en TP. Presentation d'etudes realisees par des BE Techniques.","calcul des structures Statique et RDM constructions metalliques beton arme logiciel ROBOT dynamique de structures methode des elements finis L' UV concerne les principes de modelisation et d'analyse des structures en abordant les aspects mecaniques fondamentaux, le dimensionnement des charpentes metalliques et poutres en beton arme, la normalisation (Eurocodes). Le logiciel metier ROBOT est utilise en TP. Presentation d'etudes realisees par des BE Techniques."
"18","BI01","genomes phenomenes biologiques biologie mathematique sequences biologiques","Au cours des dernieres annees un enorme progres des techniques biologiques experimentales a eu lieu et le nombre de donnees produites a extrêmement augmente. Des modeles et d'approches in silico capables d'analyser, interpreter et simuler les differents phenomenes biologiques sont donc necessaires. Ainsi, l'UV s'occupe de donner aux etudiants un ensemble de modeles et d'outils permettant de repondre aux differentes questions biologiques.","genomes phenomenes biologiques biologie mathematique sequences biologiques Au cours des dernieres annees un enorme progres des techniques biologiques experimentales a eu lieu et le nombre de donnees produites a extrêmement augmente. Des modeles et d'approches in silico capables d'analyser, interpreter et simuler les differents phenomenes biologiques sont donc necessaires. Ainsi, l'UV s'occupe de donner aux etudiants un ensemble de modeles et d'outils permettant de repondre aux differentes questions biologiques."
"19","BL10","interactions moleculaires acides nucleiques gel filtration, electrophorese enzymes acides amines, peptides, proteines filtration sur gel, electrophorese lipides spectrometrie de masse oses macromolecules en solution","la biochimie structurale et la physicochimie des solutions macromoleculaires, ainsi que des methodes d'analyse physico-chimique, sont presentees pour un public ayant peu de connaisances prealables en biochimie.","interactions moleculaires acides nucleiques gel filtration, electrophorese enzymes acides amines, peptides, proteines filtration sur gel, electrophorese lipides spectrometrie de masse oses macromolecules en solution la biochimie structurale et la physicochimie des solutions macromoleculaires, ainsi que des methodes d'analyse physico-chimique, sont presentees pour un public ayant peu de connaisances prealables en biochimie."
"20","BL16","microorganisme cellules vegetales et animales physiologie bioreacteurs","Integration des voies metaboliques dans les phenomenes de croissance et de production de metabolites : application dans les industries de fermentation et de depollution. Cultures de cellules vegetales et animales. Conception et conduite de reacteurs.","microorganisme cellules vegetales et animales physiologie bioreacteurs Integration des voies metaboliques dans les phenomenes de croissance et de production de metabolites : application dans les industries de fermentation et de depollution. Cultures de cellules vegetales et animales. Conception et conduite de reacteurs."
"21","BL17","biochimie enzymologie bioinformatique purification synthese remodelage proteomique","UV de fin de branche. Methodes et applications technologiques dans le domaine du genie des proteines et bases scientifiques en relation avec les aspects d'ingenierie.","biochimie enzymologie bioinformatique purification synthese remodelage proteomique UV de fin de branche. Methodes et applications technologiques dans le domaine du genie des proteines et bases scientifiques en relation avec les aspects d'ingenierie."
"22","BL20","transports membranaires potentiels membranaire recepteurs membranaires communications cellulaires","Rappel sur la cellule puis travail sur l' organisation structurale des membranes. Les implications en termes d'echanges intra et extracellulaires seront abordees, ainsi que des notions de moteurs moleculaires. Le metabolisme energetique et les voies de regulation seront traites.","transports membranaires potentiels membranaire recepteurs membranaires communications cellulaires Rappel sur la cellule puis travail sur l' organisation structurale des membranes. Les implications en termes d'echanges intra et extracellulaires seront abordees, ainsi que des notions de moteurs moleculaires. Le metabolisme energetique et les voies de regulation seront traites."
"23","BL22","genetique metabolisme microbien microbiologie","Cette UV consiste en une presentation generale des bases de la microbiologie et de la biologie moleculaire qui permettront d'aborder ensuite des domaines tels que le genie genetique, la microbiologie industrielle ou alimentaire.","genetique metabolisme microbien microbiologie Cette UV consiste en une presentation generale des bases de la microbiologie et de la biologie moleculaire qui permettront d'aborder ensuite des domaines tels que le genie genetique, la microbiologie industrielle ou alimentaire."
"24","BL30","Controle nerveux Regulation de la fonction digestive Regulation de la fonction circulatoire controle de la motricite Regulation de la fonction respiratoire Controle hormonal Homeostasie","Apres avoir introduit le concept d'homeostasie et detaille les grands principes de contrôle, l'UV presente les principaux systemes de regulation des fonctions physiologiques. A l'issue de l'enseignement, l'etudiant sera capable de definir les principaux mecanismes physiologiques afin de dialoguer avec les acteurs du monde medical.","Controle nerveux Regulation de la fonction digestive Regulation de la fonction circulatoire controle de la motricite Regulation de la fonction respiratoire Controle hormonal Homeostasie Apres avoir introduit le concept d'homeostasie et detaille les grands principes de contrôle, l'UV presente les principaux systemes de regulation des fonctions physiologiques. A l'issue de l'enseignement, l'etudiant sera capable de definir les principaux mecanismes physiologiques afin de dialoguer avec les acteurs du monde medical."
"25","BL40","proliferation differenciation apoptose immunologie","Apres avoir aborde des notions d'embryologie et d'histologie, l'UV presente les principaux mecanismes qui contrôlent l'organisation et le developpement cellulaires. Les aspects technologiques seront particulierement soulignes.","proliferation differenciation apoptose immunologie Apres avoir aborde des notions d'embryologie et d'histologie, l'UV presente les principaux mecanismes qui contrôlent l'organisation et le developpement cellulaires. Les aspects technologiques seront particulierement soulignes."
"26","BM01","technologies medicales dispositifs medicaux traitements et soins laboratoire d'analyses medicales imagerie medicale","Cette UV presente les principes technologiques des principaux appareillages rencontres à l'hôpital.","technologies medicales dispositifs medicaux traitements et soins laboratoire d'analyses medicales imagerie medicale Cette UV presente les principes technologiques des principaux appareillages rencontres à l'hôpital."
"27","BM02","cycle cardiaque rheologie sanguine ecoulements arteriels hemodialyse plasmapherese foie bioartificiel protheses vasculaires et valvulaires coeur artificiel","Notions de base de biomecanique des fluides: application aux ecoulements cardiovasculaires, à la biorheologie et à la microfluidique. Analyse des transferts de masse : application à la conception et l'utilisation d'organes artificiels. Une part importante du cours est consacree aux TP et à une etude personnalisee (en binôme) d'une fonction physiologique et de sa suppleance.","cycle cardiaque rheologie sanguine ecoulements arteriels hemodialyse plasmapherese foie bioartificiel protheses vasculaires et valvulaires coeur artificiel Notions de base de biomecanique des fluides: application aux ecoulements cardiovasculaires, à la biorheologie et à la microfluidique. Analyse des transferts de masse : application à la conception et l'utilisation d'organes artificiels. Une part importante du cours est consacree aux TP et à une etude personnalisee (en binôme) d'une fonction physiologique et de sa suppleance."
"28","BM03","Robotique Cinematique Traitement du signal biomedical Syteme embarque Electronique numerique Controle myoelectrique Programmation C et Python","L'objectif de l'UV est d'apporter une culture generale en robotique medicale aux ingenieurs biomedicaux en fin de cycle afin d'être capables d'integrer un projet de robotique medicale et de dialoguer avec des roboticiens dans un contexte en plein essor (robotique humanoïde, chirurgie mini-invasive et dispositifs d'imagerie robotises).","Robotique Cinematique Traitement du signal biomedical Syteme embarque Electronique numerique Controle myoelectrique Programmation C et Python L'objectif de l'UV est d'apporter une culture generale en robotique medicale aux ingenieurs biomedicaux en fin de cycle afin d'être capables d'integrer un projet de robotique medicale et de dialoguer avec des roboticiens dans un contexte en plein essor (robotique humanoïde, chirurgie mini-invasive et dispositifs d'imagerie robotises)."
"29","BM04","capteurs acquisition de signaux traitement du signal securite electrique materiovigilence","cette UV presente les notions utiles au developpement et à la conception d'appareillages fondes sur l'acquisition et le traitement de signaux, dans le cadre d'applications biomedicales.","capteurs acquisition de signaux traitement du signal securite electrique materiovigilence cette UV presente les notions utiles au developpement et à la conception d'appareillages fondes sur l'acquisition et le traitement de signaux, dans le cadre d'applications biomedicales."
"30","BM05","exploration fonctionnelle physiopathologie electrophysiologie angiographie fibroscopie echographie medecine nucleaire","L'UV permet à l'etudiant de voir l'utilite des capteurs et instrumentations, decrits anterieurement dans le cadre d'explorations fonctionnelles presentees, le plus souvent, par des praticiens hospitaliers.","exploration fonctionnelle physiopathologie electrophysiologie angiographie fibroscopie echographie medecine nucleaire L'UV permet à l'etudiant de voir l'utilite des capteurs et instrumentations, decrits anterieurement dans le cadre d'explorations fonctionnelles presentees, le plus souvent, par des praticiens hospitaliers."
"31","BM06","segmentation amelioration imagerie medicale multimodalites traitement analyse d'images caracterisation compression et transfert","cette UV a pour but de familiariser l'etudiant avec les techniques logicielles et materielles de traitement d'images medicales numeriques.","segmentation amelioration imagerie medicale multimodalites traitement analyse d'images caracterisation compression et transfert cette UV a pour but de familiariser l'etudiant avec les techniques logicielles et materielles de traitement d'images medicales numeriques."
"32","BM07","cytotoxicite reaction inflammatoire hypersensibilite genotoxicite corrosion relargage debris d'usure","le programme permet de cerner les principaux problemes qui se posent au cours de la conception et de l'evaluation des materiaux destines à être en contact à plus ou moins long terme avec les tissus humains.","cytotoxicite reaction inflammatoire hypersensibilite genotoxicite corrosion relargage debris d'usure le programme permet de cerner les principaux problemes qui se posent au cours de la conception et de l'evaluation des materiaux destines à être en contact à plus ou moins long terme avec les tissus humains."
"33","BM08","CAO calculs de structures methode des elements finis biomecanique","l'UV presente les methodes et outils pour modeliser les systemes biomecaniques.","CAO calculs de structures methode des elements finis biomecanique l'UV presente les methodes et outils pour modeliser les systemes biomecaniques."
"34","BT02","operations unitaires agro-industrie sterilisation-pasteurisation echangeurs a<U+00A0> plaques sechage-lyophilisation evaporation-concentration congelation-surgelation cristallisation extraction diffusion","developpement de connaissances technologiques, en procede et equipements, concernant des operations caracteristiques de transformation et de conservation en agro-industrie.","operations unitaires agro-industrie sterilisation-pasteurisation echangeurs a<U+00A0> plaques sechage-lyophilisation evaporation-concentration congelation-surgelation cristallisation extraction diffusion developpement de connaissances technologiques, en procede et equipements, concernant des operations caracteristiques de transformation et de conservation en agro-industrie."
"35","BT03","cultures in vitro cryopreservation cytotoxicite techniques de separation ingenierie tissulaire","vue d'ensemble sur les techniques destinees à l'etude des tissus animaux et à la manipulation des tissus humains à des fins experimentales et biomedicales.","cultures in vitro cryopreservation cytotoxicite techniques de separation ingenierie tissulaire vue d'ensemble sur les techniques destinees à l'etude des tissus animaux et à la manipulation des tissus humains à des fins experimentales et biomedicales."
"36","BT06","produits biologiques produits alimentaires materiaux biologiques processus technologiques","Cette UV a pour objectif de donner aux etudiants les moyens de connaître la composition et la structure des materiaux biologiques en general et des aliments en particulier aux fins de suivre rationnellement les processus technologiques, la qualite et la conformite des produits à la reglementation.","produits biologiques produits alimentaires materiaux biologiques processus technologiques Cette UV a pour objectif de donner aux etudiants les moyens de connaître la composition et la structure des materiaux biologiques en general et des aliments en particulier aux fins de suivre rationnellement les processus technologiques, la qualite et la conformite des produits à la reglementation."
"37","BT07","formulation ingredients additifs proprietes fonctionnelles nutrition agents texturants","Cette UV a pour objectif de donner une methode de travail dans le cadre de la formulation de produits alimentaires, depuis le cahier des charges jusqu'à la finalisation en passant par les etudes de vieillissement.","formulation ingredients additifs proprietes fonctionnelles nutrition agents texturants Cette UV a pour objectif de donner une methode de travail dans le cadre de la formulation de produits alimentaires, depuis le cahier des charges jusqu'à la finalisation en passant par les etudes de vieillissement."
"38","BT09","Biochimie qualite sensorielle analyse des dangers agro alimentaire","l'UV permet de sensibiliser l'etudiant aux grands problemes actuels des industries agro-alimentaires, sont abordes les aspects hygienes, analyse des risques, analyses sensorielles et mais egalement biochimiques qui constituent les fondements de la comprehension de cette branche.","Biochimie qualite sensorielle analyse des dangers agro alimentaire l'UV permet de sensibiliser l'etudiant aux grands problemes actuels des industries agro-alimentaires, sont abordes les aspects hygienes, analyse des risques, analyses sensorielles et mais egalement biochimiques qui constituent les fondements de la comprehension de cette branche."
"39","BT10","toxicologie evaluation des risques management des risques reglementation pesticides irradiation additifs cancer OGM mycotoxines","Il s'agit d'une introduction à la toxicologie alimentaire. Les differentes categories de molecules toxiques ou suspectees d'être nefastes seront decrites ainsi que les procedes alimentaires incrimines. Seront evoques dans une deuxieme partie, les aspects microbiologiques ainsi que les operations industrielles destinees à limiter ces risques.","toxicologie evaluation des risques management des risques reglementation pesticides irradiation additifs cancer OGM mycotoxines Il s'agit d'une introduction à la toxicologie alimentaire. Les differentes categories de molecules toxiques ou suspectees d'être nefastes seront decrites ainsi que les procedes alimentaires incrimines. Seront evoques dans une deuxieme partie, les aspects microbiologiques ainsi que les operations industrielles destinees à limiter ces risques."
"40","BT21","bioinformatique vaccins ethique biotechnologie OGM genie genetique clonage recombinant legislation","Cette UV traite du developpement actuel du genie genetique et ses applications, et plus largement des biotechnologies moleculaires et cellulaires. Elle presente les avancees methodologiques majeures, tels que le clonage, la therapie genique et cellulaire, les OGM, etc... Elle en aborde, si necessaire, les aspects financiers, ethiques ou legislatifs. Elle traite egalement de l'impact de ces techniques sur la valorisation des matieres premieres.","bioinformatique vaccins ethique biotechnologie OGM genie genetique clonage recombinant legislation Cette UV traite du developpement actuel du genie genetique et ses applications, et plus largement des biotechnologies moleculaires et cellulaires. Elle presente les avancees methodologiques majeures, tels que le clonage, la therapie genique et cellulaire, les OGM, etc... Elle en aborde, si necessaire, les aspects financiers, ethiques ou legislatifs. Elle traite egalement de l'impact de ces techniques sur la valorisation des matieres premieres."
"41","BZ08","Biomecanique Calculs de structures Modelisation geometrique Elements finis","l'UV presente les methodes et outils pour modeliser les systemes biomecaniques.","Biomecanique Calculs de structures Modelisation geometrique Elements finis l'UV presente les methodes et outils pour modeliser les systemes biomecaniques."
"42","CM04","separation conversion echange de chaleur bilan matiere bilan d'energie","presentation des operations fondamentales des procedes industriels, bilans de matiere et d'energie et application à la conception et au dimensionnement des procedes industriels.","separation conversion echange de chaleur bilan matiere bilan d'energie presentation des operations fondamentales des procedes industriels, bilans de matiere et d'energie et application à la conception et au dimensionnement des procedes industriels."
"43","CM05","Equations d'etat Grandeurs de melange Fugacite Activite Equilibres de phases","L'enseignement est essentiellement axe sur le calcul des equilibres de phases. Pour cela, nous abordons les notions d'equation d'etat, de grandeur de melange, de fugacite et d'activite. Les equilibres liquide/vapeur, liquide/solide et liquide/liquide sont alors traites.","Equations d'etat Grandeurs de melange Fugacite Activite Equilibres de phases L'enseignement est essentiellement axe sur le calcul des equilibres de phases. Pour cela, nous abordons les notions d'equation d'etat, de grandeur de melange, de fugacite et d'activite. Les equilibres liquide/vapeur, liquide/solide et liquide/liquide sont alors traites."
"44","CM06","Bilans matiere et energie dimensionnement d'appareillage calcul d'installation simulation de procede securite calcul de coa<U+00BB>t","il s'agit de dimensionner à l'aide des connaissances acquises tout au long du cursus une unite de production chimique, thermique, agro-industrielle.","Bilans matiere et energie dimensionnement d'appareillage calcul d'installation simulation de procede securite calcul de coa<U+00BB>t il s'agit de dimensionner à l'aide des connaissances acquises tout au long du cursus une unite de production chimique, thermique, agro-industrielle."
"45","CM15","milieux poreux gels poudres suspensions mousses emulsions interfaces","On appelle colloïdes les milieux disperses dans lesquels les objets disperses ont des dimensions de l'ordre de 1 à quelques centaines de nanometres. Cette UV presente les notions de base sur les proprietes physico-chimiques specifiques des colloïdes et des systemes disperses en vue de leur maîtrise lors de leur mise en oeuvre dans les procedes.","milieux poreux gels poudres suspensions mousses emulsions interfaces On appelle colloïdes les milieux disperses dans lesquels les objets disperses ont des dimensions de l'ordre de 1 à quelques centaines de nanometres. Cette UV presente les notions de base sur les proprietes physico-chimiques specifiques des colloïdes et des systemes disperses en vue de leur maîtrise lors de leur mise en oeuvre dans les procedes."
