"","Code","infos"
"1","AP00","ATELIER PROJET / Travail en equipe autonomie commande outil du projet pedagogie par le projet / les ateliers-projets sont au centre de l'innovation pedagogique du departement GU. Ils representent la forme la plus accomplie de la pedagogie par projet en mettant les etudiants en situation d'apprendre à gerer un vrai projet et à travailler ensemble, dans le cadre d'un projet dont les enjeux sont reels. / Ingenierie de l'environnement / Autres / d'organiser un travail de groupe, de l'animer, de repartir et de planifier ce travail d'elaborer un approche strategique sur un theme nouveau. / imaginer une methode de travail de groupe, gerer un projet dans la duree, recenser les moyens et methodes a<U+00A0> mobiliser pour etre capable de maitriser en peu de temps un sujet inconnu a<U+00A0> l'origine. / NA / NA / NA"
"2","AP51","ATELIER PROJET CONCEPTION MÉCANIQUE INTÉGRÉE / ingenierie simultanee ingenierie numerique integration mecanique / AP specifique CMI : propose aux etudiants de mener une etude de conception de systeme mecanique, basee sur une problematique industrielle, en equipe-projet. Objectifs : amener les etudiants à savoir analyser un besoin, comprendre les problematiques et enjeux (contexte d'etude) et utiliser de facon coordonnee les connaissances scientifiques, methodologiques et technologiques acquises durant leurs cursus / Outils et methodes de l'ingenieur / Conception, fabrication / - mener a<U+00A0> bien un projet de conception de systeme mecanique complexe. / - ameliorer l'aisance du travail en equipe dans une structure projet, adopter une posture professionnelle - utiliser et/ou consolider les connaissances scientifiques acquises - mettre en application, savoir analyser, savoir communiquer / NA / Projet de conception de systeme mecanique, avec un porteur industriel et un referent UTC / L'etudiant ayant suivi cette formation sera capable, a<U+00A0> l'issue, de mener a<U+00A0> bien un projet de conception de systeme mecanique complexe."
"3","AP52","SIMULATION POUR L'INGÉNIERIE MÉCANIQUE / Modelisation par elements finis Optimisation Muliphysique / Cette UV est organisee sous la forme d'un atelier projet. Cela consiste à mener à bien un projet de modelisation et d'optimisation d'un systeme mecanique sur le semestre. Les etapes principales sont : Etude theorique du probleme, construction d'un modele elements finis, mise en oeuvre des simulations numeriques avancees et optimisation du systeme / Modelisation et simulation / Modelisation et simulation / expertiser un systeme mecanique par des simulations numeriques / - comprendre la problematique posee par l'industriel; - identifier des orientations dans le but de repondre a<U+00A0> la problematique - choisir les outils appropries; - mettre en oeuvre les moyens choisis; - simuler et/ou optimiser par elements finis le comportement mecanique d'un systeme; - analyser les resultats; - critiquer les resultats en vue de mieux comprendre, voir ameliorer le systeme; / - travailler en equipe; - organiser leur travail (gerer leur temps et la repartition des taches); - rediger des documents scientifiques et techniques; - rediger des cahiers des charges et documents de gestion de projet. / NA / NA"
"4","AP53","PRODUCTION INTÉGRÉE ET LOGISTIQUE / Lean manufacturing Accompagnement du changement Performance industrielle Transition ecologique Management de projet / Dans le cadre d'un projet reel dans un domaine technique liee à la filiere PIL, les etudiants seront amenes à conduire une demarche d'amelioration des performances d'un site industriel en prenant en comptes des indicateurs ecologiques, economiques et sociaux. / Modelisation et simulation / Modelisation et simulation / Concevoir, organiser, gerer et/ou ameliorer une unite de production (type atelier) et/ou une unite logistique (type magasin) selon des criteres de performance ecologique, sociale et economique, tout en contribuant a<U+00A0> l'accompagnement du changement induit par le projet aupres des differents niveaux hierarchiques concernes. / - s'approprier les enjeux d'un projet industriel dans un contexte de transition ecologique, - m'aitriser les codes de communication au sein d'un site industriel, - mener une demarche de gestion de projet, - collecter des donnees, - valoriser les activites realisees et les resultats obtenus aupres d'une direction, - mettre en oeuvre des outils et methodes d'amelioration des performances industrielles en situation reelle, - manipuler des outils de modelisation numerique des flux et/ou de la production. / - comprendre les enjeux strategiques du secteur industriel en matiere de transition ecologique nationale et mondiale, - comprendre les enjeux strategiques de l'activite d'un ingenieur au sein d'une entreprise industrielle, - travailler en groupe, - animer des equipes sans legitimite hierarchique, - valoriser ses competences. / Introduction aux outils specifiques necessites par le projet Realisation du projet / NA"
"5","AR03","ART, SOCIÉTÉ ET TECHNIQUES / performance esthetique art et societe enquete son film arts visuels et numeriques art et nature avant-garde architecture / Le cours propose une reflexion sur des liens entre l'art et la societe, sur la maniere dont l'art transforme et enrichit la perception des situations sociales ordinaires en interrogeant l'evolution des pratiques artistiques leur lien avec la societe et les techniques. Il se refere a  l'histoire des avant-gardes, et analyse leur influence sur les pratiques artistiques contemporaines, oeuvres et theories qui les sous-tendent. / Sciences de la communication / Sciences de la communication / - mener une reflexion sur l'evolution des pratiques artistiques en interrogeant des liens qui se nouent entre les avant-gardes et l'art contemporain, les arts et l'esthetique du quotidien, l'art et les technologies. - Projet : mener une enqua<U+0083>ªte/ un entretien filmee aupra<U+0083>šs d'un artiste - Realiser un blog / - reperer les fondements esthetiques des pratiques artistiques et leur lien avec la societe, son evolution - reconnaa<U+0083>®tre les differents mouvements d'art moderne/contemporain, savoir etablir les liens entre l'art et technologies, arts et sciences, arts et societe / NA / 14 soutenances (1h de cours + 2h de TD) par semestre environ divisoutenes en trois groupes d'activitoutens : - Notion thoutenoriques sur l'art moderne et contemporain (routenvolution de la notion de l'art et ses pratiques dans des avant-garde ; L'art comme expoutenrience (appui sur les textes philosophiques) ; place des technologies dans le doutenveloppement des pratiques artistiques contemporaines - Recherches et exposoutens menoutenes par les outentudiants dans le champs de l'histoire de l'art des avant-gardes et l'art contemporain (mouvements/ approches : furturisme, dada, surroutenalisme, lettrisme, poesie sonore... dans les diffoutenrents champs : arts plastiques, peinture, architecture, danse, musique, happenings....) - Enqua<U+0083><U+0083>Aªte et entretien filmouten avec un artiste / Les resultats recherches sont : - Apprendre a<U+00A0> reperer les fondements esthetiques des pratiques artistiques - Reconn'aitre sans reductions, les differences entre art et design, entre experience esthetique et usage efficient. - Apprendre a<U+00A0> poser des questions en arts et techniques - Developper une pensee critique en arts et techniques"
"6","AR04","ART, VILLE, ARCHITECTURE / architecture art patrimoine ville / l'UV montre les rapports entre les arts plastiques, l'architecture, les jardins et la ville à travers les siecles. Elle presente les revolutions conceptuelles, leur impact et leurs prolongations sur ces differents domaines. / Sciences de la communication / Sciences de la communication / Comprendre les enjeux culturels de son milieu d'intervention professionnel / Comprendre la relation entre les differents domaines artistiques et les mutations qui les ont transformes . / Evaluer l'impact culturel potentiel d'un projet dans le champ architectural ou urbain; / Le programme de l'UV se deroulera autour des themes suivants : - le cadre theorique : une approche renouvelee de l'histoire de l'architecture. - les rapports entre arts, ville et architecture : le systeme des Beaux-Arts, le cas haussmannien, art et technologies aux 19e et 20e siecles, le mouvement Art Nouveau, le Mouvement Moderne, la periode contemporaine. - le role des materiaux dans l'evolution de l'art architectural et urbain. - le patrimoine dans la ville d'aujourd'hui. Cette approche sera completee par des travaux diriges qui permettront aux etudiants d'aborder les problematiques evoquees dans le cours au travers d'une etude de cas. / Ce cours doit permettre aux etudiants de mieux comprendre les aspects complexes de l'architecture et de l'urbanisme qui, bien que partiellement rattaches au domaine des arts, s'en distinguent notablement, en raison de leurs multiples implications dans la vie technique, economique et sociale."
"7","AS01","LES COLLECTIFS DE L'INGÉNIEUR CONTEMPORAIN / reseau / communaute  collectifs enquete ingenieur contemporain exigences ecologiques capitalisme contemporain / La tres grande majorite des situations importantes vecues par les ingenieurs contemporains se jouent dans des collectifs singuliers, composes d'acteurs tres heterogenes, agites par des dynamiques imprevisibles. Comment analyser ces collectifs et y agir en tant qu'ingenieur ? De surcroît, comment apprehender les limites de ces dynamiques collectives à une epoque où l'exigence ecologique semble requerir l'invention de nouvelles solidarites ? / Sciences humaines et sociales / Sciences humaines et sociales / - d'identifier les ""facteurs"" determinant les dynamiques collectives dans lesquelles il evoluera en tant qu'ingenieur / - d'identifier les « facteurs » determinant les dynamiques collectives dans lesquelles il sera pris en tant qu'ingenieur (jeux de contraintes ; objet intermediaire et « negoci-action » ; evenement et inventivite collective) ; - d'identifier certaines limites de ces dynamiques collectives propres au capitalisme contemporain. / - definir des scenarios d'action collective relevant de compromis ; - developper une demarche reposant sur la formulation et le test d'hypotheses ; - questionner, ecouter et reformuler les propos d'un ingenieur jusque-la<U+00A0> inconnu. / Le contenu de l'UV s'articule autour de deux situations professionnelles reelles tenues pour representatives des situations de l'ingenieur contemporain. Pour chacune d'entre elles : 1. Le temoignage d'un ou plusieurs acteurs ayant vecu cette situation suivi d'interactions avec les etudiants (2h de cours) 2. Une formalisation de cette situation par les etudiants (1h de TD) 3. Une identification d'une situation analogue en entreprise (1h de TD apprentis) 4. Trois eclairages SHS complementaires de cette situation illustrant les 3 lignes du tableau TSH et au moins une des deux colonnes (3 x 2h de cours) 5. Une synthese de ces apports disciplinaires par les etudiants au regard de la situation (3 x 1h de TD) 6. Une transposition sur une situation vecue en entreprise (3 x 1h de TD pour les apprentis) 7. Une synthese generale et une mise en perspective relative au metier de l'ingenieur contemporain (2h cours, 1h de TD (2h de TD apprentis)). / Au terme de cette UV l'etudiant devrait avoir compris comment il est possible de mobiliser les concepts et demarches des SHS pour analyser une situation professionnelle. Il devrait ainsi etre pret a<U+00A0> en conduire une par lui-meme dans le cadre de l'UV AS02 sur une thematique du mineur qu'il suit, lors de TN09 ou du PFE, en etant accompagne par l'un des enseignants."
"8","AS02","ACCOMPAGNEMENT POUR L'ANALYSE DES SITUATIONS DE L'INGÉNIEUR / complexite resolution de probleme metier d'ingenieur / L'UV propose un accompagnement individualise par un enseignant chercheur en sciences humaines et sociales, pour analyser une situation professionnelle observee (prioritairement en TN09 ou TN10) à l'aide de methodes et/ou de concepts issus des sciences humaines. L'etudiant approfondira sa reflexion sur le metier de l'ingenieur. / Sciences humaines et sociales / Sciences humaines et sociales / mettre en oeuvre une demarche d'analyse de situation professionnelle qui mobilise des concepts SHS et de produire des scenarios d'action argumentes. / - decrire une situation vecue ou observee en stage et reperant les tensions qui la traversent; - s'approprier de maniere autonome un concept des SHS en rapport avec le probleme que souleve la situation; - problematiser par la formulation d'une question directrice de l'enquete qui se fonde sur le concept de SHS choisi et en y associant des hypotheses de reponse; - collecter et exploiter les informations necessaires a<U+00A0> la mise a<U+00A0> l'epreuve des hypotheses; - analyser les informations collectees et en proposant sur cette base des scenarios d'actions possibles. / - problematiser et construire des choix argumentes en situation. - critiquer de textes academiques. / NA / NA"
"9","AV01","INITIATION À L'ANALYSE ET À LA RÉALISATION AUDIOVISUELLE / audiovisuel convergence numerique industries culturelles montage / UV d'initiation à l'audiovisuel à travers une reflexion theorique, des analyses de documents et des realisations video sous contraintes. / Sciences de la communication / Sciences de la communication / Pour aborder la complexite et la multiplicite des aspects de l'audiovisuel, l'UV developpe des axes complementaires : theorique, analytique et pratique. Ils visent a<U+00A0> la fois a<U+00A0> : - Engager une reflexion theorique sur la specificite de l'audiovisuel, son histoire et ses enjeux - Fournir un outillage conceptuel sur l'ecriture audiovisuelle - Familiariser les etudiants a<U+00A0> l'analyse de documents temporels - Initier les etudiants aux differentes etapes d'ecriture a<U+00A0> travers des realisations audiovisuelles sous contraintes / - Acquerir un bagage conceptuel sur l'histoire et les theories de l'audiovisuel - M'aitriser le vocabulaire et des notions propres au domaine - Decrire, analyser et critiquer des documents audiovisuels - Utiliser une camera numerique et un outil de montage virtuel video / NA / L'objectif de cette partie est d'engager les etudiants dans une reflexion theorique generale sur l'audiovisuel en tant que mode d'expression, mis en perspective dans l'histoire de l'humanite et de ses techniques. En particulier, les questions suivantes seront abordees : - l'evolution des supports d'enregistrement, de diffusion et de reception - la continuite du flux audiovisuel et les modalites techniques d'apprehension des objets temporels - les changements apportes par le numerique audiovisuel (nouveaux modes de production, nouveaux supports, nouveaux usages) Elements d'ecriture et d'analyse audiovisuelle : L'objectif de cette partie est de fournir aux etudiants un outillage conceptuel sur l'ecriture audiovisuelle et de les familiariser a<U+00A0> l'analyse de documents. Sont par exemple traitees les notions suivantes : - cadre, champ, hors-cadre, hors-champ, - profondeur de champ - echelle de plan - angles de camera - mouvements de camera - sons in/off, intra/extra-diegetique - construction de la continuite - recit, scenario, point de vue narratif Certains aspects abordes font l'objet d'exercices pratiques sur des documents videos a<U+00A0> l'aide d'outils informatiques d'analyse audiovisuelle. Realisations audiovisuelles Chaque etudiant (en binome)produit 1 bande annonce et 1 realisation video en choisissant parmi plusieurs sujets proposes. Cette realisation comprend a<U+00A0> la fois la preparation (intentions, ecriture, reperage), le tournage (camera DV), et le montage numerique (banc de montage virtuel). / - Acquisition d'un bagage conceptuel sur l'histoire et les theories de l'audiovisuel, - M'aitrise du vcabulaire et des notions propres au domaine, - Capacite de description, d'analyse et de critique des documents audiovisuels, - Utilisation d'une camera numerique et d'un outil de montage virtuel video."
"10","BA01","ÉQUIPEMENTS TECHNIQUES DU BÂTIMENT / electricite chauffage climatisation eau chaude sanitaire ventilation energies renouvelables / Cette UV traite les equipements techniques d'un batiment (installation electrique, chaud, froid, ventilation, energies renouvelables integrees au batiment) au travers des principaux types d'equipements existants, et ceci d'un point de vue fonctionnement, dimensionnement, coût global, contraintes. Une attention particuliere est donnee aux equipements à base d'energie renouvelable. / Genie civil, genie urbain, amenagement / Batiments / - Posseder un socle de connaissances fondamentales pluridisciplinaires en sciences de l'ingenieur dans des domaines comme les equipements techniques du batiment, l'electricite, la production d<U+0092>energie, et l'integration des systemes ... / - Decrire et definir les systemes techniques du batiment; - Choisir les solutions en prenant en compte le projet dans sa globalite; - Choisir un equipement le gerer pendant sa duree de vie et decider son remplacement; - Construire, expliquer, integrer et formuler les systemes techniques du batiment; - Examiner, rechercher et separer les differentes contraintes liees aux equipements et leur gestion ; - Utiliser les outils mathematiques, statistiques, numeriques, et de physique appliquee requis en sciences de l'ingenieur ; - Appliquer les outils numeriques de conception et de gestion adaptes au batiment (CAO, dimensionnement, etc.), a<U+00A0> la simulation et l<U+0092>aide a<U+00A0> la decision pour les projets de construction. - Proposer des solutions innovantes a<U+00A0> des problemes technologiques, societaux ou operationnels des batiments dans une perspective de developpement durable. / - Participer a<U+00A0> un projet en equipe, aussi bien en tant que chef de projet que contributeur actif. - Gerer le montage et la mise en oe<U+009C>uvre d''operations de construction et de gestion technique des batiments. - Gerer ou assister toutes les phases d''un projet de site bati ou de patrimoine immobilier en integrant les dimensions multi techniques (construction, installations et equipements, automatismes, materiaux) et multiservice (fonctionnement, gestion, confort, usage, energies, securite). / Systeme electrique : - installation electrique, alimentation et TGBT, - tarification et optimisation des contrats, puissance et consommation, controle de la puissance, - groupe electrogene, cogeneration. Systeme thermodynamique : - chauffage (rendements, solutions techniques ; chauffage electrique, au gaz, au fuel, au charbon, au bois ; chauffage central, chaudieres et corps de chauffe), - climatisation et rafr'aichissement (systeme decentralise et systeme centralise, pompe a<U+00A0> chaleur, emetteurs, capteurs), - eau chaude sanitaire (procedes de production et modes de production). Systeme aeraulique : - ventilation (objectifs, dispositions reglementaires, procedes de ventilation), - solutions optimales en ventilation. Equipements techniques a<U+00A0> base d'energies renouvelables : - systeme solaire (photovoltaa<U+00AF>que et thermique), - systeme eolien, - biomasse, - pile a<U+00A0> combustible, - geothermie. / A la fin de l'UV, l'etudiant doit : Conn'aitre et comprendre les systemes techniques du batiment Analyser les differentes contraintes liees aux equipements et a<U+00A0> leur gestion Choisir les solutions en prenant en compte le projet dans sa globalite : choisir un equipement, le gerer pendant sa duree de vie et decider son remplacement."
